,GEM plant ID,Plant name (English),Owner,Owner GEM entity ID,Parent (English),Parent GEM entity ID,Location address,Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,Plant age,Status,Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Retired year,latitude,longitude,geometry,GID_1,within_target_boundaries,which_boundary,GID_2,GID_3,GID_4,GID_5
1081,P100000120713,Lanwa Steel Hambantota steel plant,Ceylon Steel Co Ltd,E100000131034,Ceylon Steel Co Ltd [100.0%],E100000131034 [100.0%],"Mirijjawila Export Processing Zone, Hambantota, Sri Lanka",Hambantota,Hambantota,Sri Lanka,Southern Asia,"6.1280770, 81.0752240",exact,,construction,600.0,0.0,2021-07-21 00:00:00,2022-03-01 00:00:00,,,,,,6.128077,81.075224,POINT (81.075224 6.128077),,0,,,,,
1082,P100000120714,ArcelorMittal Differdange steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"51 Rue Emile Mark, 4620 Differdange, Luxembourg",Differdange,Esch-sur-Alzette,Luxembourg,Western Europe,"49.5279660, 5.9003980",exact,130,operating,1350.0,,,,1896,,,,,49.527966,5.900398,POINT (5.900398 49.527966),,0,,,,,
1083,P100000120715,ArcelorMittal Esch-Belval steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"Rue de Luxembourg 66, 4221, Esch-sur-Alzette, Luxembourg",Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,Western Europe,"49.5041750, 5.9937590",exact,115,operating,1250.0,,,,1911,,,,,49.504175,5.993759,POINT (5.993759 49.504175),,0,,,,,
1084,P100000120715,ArcelorMittal Esch-Belval steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"Rue de Luxembourg 66, 4221, Esch-sur-Alzette, Luxembourg",Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,Western Europe,"49.5041750, 5.9937590",exact,115,retired,1000.0,,,,1911,,,,,49.504175,5.993759,POINT (5.993759 49.504175),,0,,,,,
1085,P100000120716,Liepājas Metalurgs steel plant,KVV Liepājas metalurgs AS,E100001010321,KVV Liepājas metalurgs AS [100.0%],E100001010321 [100.0%],"Brīvības iela 93, Liepāja, LV-3401, Latvia",Liepaja,Kurzeme,Latvia,Northern Europe,"56.5252730, 21.0267000",exact,,retired,850.0,,,,,,,2016,2016,56.525273,21.0267,POINT (21.0267 56.525273),,0,,,,,
1086,P100000120717,Libyan Iron and Steel Misrata plant,Libyan Iron and Steel Co,E100000002006,Libyan Iron and Steel Co [100.0%],E100000002006 [100.0%],"Libyan Iron and Steel Company Building, Qasr Ahmad Area, 17858, Misrata, Libya",Misrata,Misrata,Libya,Northern Africa,"32.3351850, 15.2150530",exact,37,announced,,2400.0,1979,,1989,,,,,32.335185,15.215053,POINT (15.215053 32.335185),,0,,,,,
1087,P100000120717,Libyan Iron and Steel Misrata plant,Libyan Iron and Steel Co,E100000002006,Libyan Iron and Steel Co [100.0%],E100000002006 [100.0%],"Libyan Iron and Steel Company Building, Qasr Ahmad Area, 17858, Misrata, Libya",Misrata,Misrata,Libya,Northern Africa,"32.3351850, 15.2150530",exact,37,operating,1710.0,1806.0,1979,,1989,,,,,32.335185,15.215053,POINT (15.215053 32.335185),,0,,,,,
1088,P100000120718,Mahgreb Steel Bled Solb plant,Maghreb Steel SA,E100000130825,Maghreb Steel SA [100.0%],E100000130825 [100.0%],"Maghreb Steel, Bled Solb Industrial Park",Aïn Harrouda,Casablanca-Settat,Morocco,Northern Africa,"33.6329180, -7.4340840",exact,15,operating,1000.0,,2010,2010,2011,,,,,33.632918,-7.434084,POINT (-7.434084 33.632918),,0,,,,,
1089,P100000120719,ArcelorMittal Sonasid Jorf Lasfar steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"ArcelorMittal Sonasid - Jorf Lasfar, P.O.Box 856 and 857, El Jadida, Jorf Lasfar, Morocco",El Jadida,Casablanca-Settat,Morocco,Northern Africa,"33.1365290, -8.6035550",exact,21,operating,800.0,,2003,,2005,,,,,33.136529,-8.603555,POINT (-8.603555 33.136529),,0,,,,,
1090,P100000120720,Riva Industries Jorf Lasfar steel plant,Riva Industries,E100000131135,Meski Invest,E100001016311,"Jorf Lasfar Med-Z Industrial Park 2nd Phase, Morocco",El Jadida,Casablanca-Settat,Morocco,Northern Africa,"33.1654380, -8.5883000",exact,5,operating,800.0,,2019,,2021,,,,,33.165438,-8.5883,POINT (-8.5883 33.165438),,0,,,,,
1091,P100000120721,JSC Moldova Steel Works,Moldova Steel Works JSC,E100000130762,Moldova Steel Works JSC [100.0%],E100000130762 [100.0%],"1 Industrialnaya Street, Rybnitsa, Moldova 5500",Rybnitsa,Transnistria,Moldova,Eastern Europe,"47.7837710, 29.0283500",exact,41,mothballed,1000.0,,,1981-08-01 00:00:00,1985,,,,,47.783771,29.02835,POINT (29.02835 47.783771),,0,,,,,
1092,P100000120722,Makstil Skopje Steel plant,Makstil AD,E100000130843,Hesteel Group Co Ltd,E100001016332,"16-ta Makedonska Brigada 18 1000, Skopje, North Macedonia",Skopje,Skopje,North Macedonia,Southern Europe,"42.0162280, 21.4660500",exact,59,operating,550.0,,,,1967,,,,,42.016228,21.46605,POINT (21.46605 42.016228),,0,,,,,
1093,P100000120723,Kunming Iron and Steel Myanmar plant,Kunming Iron & Steel Holding Co Ltd,E100000128516,State-owned Assets Supervision and Administration Commission of Yunnan Province [76.5%]; Yunnan Provincial Department of Finance [8.5%]; unknown [0.0%],E100000130595 [76.5%]; E100000125648 [8.5%]; E100000132388 [0.0%],,,,Myanmar,South-Eastern Asia,"21.4237830, 96.4543780",approximate,,announced,4000.0,4000.0,2019-06-13 00:00:00,,,,,,,21.423783,96.454378,POINT (96.454378 21.423783),,0,,,,,
1094,P100000120724,Altos Hornos De Mexico SA (AHMSA) steel plant,Altos Hornos de Mexico SAB de CV,E100001010310,Grupo Acerero del Norte SA de CV [64.0%]; small shareholder(s) [36.0%],E100000131250 [64.0%]; E100001015587 [36.0%],"Prolongación Juárez S/N Col. La Loma, CP. 25770 Monclova, Coahuila, Mexico",Monclova,Coahuila,Mexico,Latin America and the Caribbean,"26.8768890, -101.4166120",exact,82,mothballed,5500.0,4380.0,,,1944,,2022-12-01 00:00:00,,,26.876889,-101.416612,POINT (-101.416612 26.876889),,0,,,,,
1095,P100000120725,ArcelorMittal Lázaro Cárdenas steel plant,ArcelorMittal México SA de CV,E100001000501,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"Av. Francisco J. Múgica No. 1, Col. Centro, CP 60950, Cd. Lázaro Cárdenas, Michoacán, Mexico",Lázaro Cárdenas,Michoacán,Mexico,Latin America and the Caribbean,"17.9306880, -102.2014980",exact,49.29,operating,6500.0,4652.0,,,1976-11-04 00:00:00,,,,,17.930688,-102.201498,POINT (-102.201498 17.930688),,0,,,,,
1096,P100000120726,DEACERO Celaya steel plant,DeAcero SAPI de CV,E100000000715,DeAcero SAPI de CV [100.0%],E100000000715 [100.0%],"Km. 64.8, Carretera 45 Panamericana, Tramo Celaya, Salamanca, 38294 Villagrán, Guanajuato, Mexico",Villagrán,Guanajuato,Mexico,Latin America and the Caribbean,"20.5185560, -100.9255560",exact,28,construction,1500.0,,,,1998,,,,,20.518556,-100.925556,POINT (-100.925556 20.518556),MEX.11_1,1,MEX.11_1,,,,
1097,P100000120726,DEACERO Celaya steel plant,DeAcero SAPI de CV,E100000000715,DeAcero SAPI de CV [100.0%],E100000000715 [100.0%],"Km. 64.8, Carretera 45 Panamericana, Tramo Celaya, Salamanca, 38294 Villagrán, Guanajuato, Mexico",Villagrán,Guanajuato,Mexico,Latin America and the Caribbean,"20.5185560, -100.9255560",exact,28,operating,2300.0,,,,1998,,,,,20.518556,-100.925556,POINT (-100.925556 20.518556),MEX.11_1,1,MEX.11_1,,,,
1098,P100000120727,Gerdau Corsa Ciudad Sahagún steel plant,Gerdau Corsa SAPI de CV,E100001010300,Gerdau SA [73.6%]; Grupo Córdova [25.0%],E100001010270 [73.6%]; E100001010301 [25.0%],"Km. 3 Ctra. Mex-Cd. Sahagún, Zona Ind. Tepeapulco, Ciudad Sahagún, Hidalgo 43990, Mexico",Ciudad Sahagún,Hidalgo,Mexico,Latin America and the Caribbean,"19.7533260, -98.5964830",exact,11,operating,1000.0,,,,2015,,,,,19.753326,-98.596483,POINT (-98.596483 19.753326),,0,,,,,
1099,P100000120728,Ternium Puebla steel plant,Ternium México SA de CV,E100000004192,unknown [10.8%]; Ternium Argentina SA; Ternium SA,E100000132388 [10.8%]; E100000130688; E100001000384,"Km 108 Mexico, Puebla Highway San Miguel Xoxtla (72620) Puebla, Mexico",San Miguel Xoxtla,Puebla,Mexico,Latin America and the Caribbean,"19.1695320, -98.3186590",exact,57,operating,1330.0,930.0,,,1969,,,,,19.169532,-98.318659,POINT (-98.318659 19.169532),,0,,,,,
1100,P100000120729,Ternium Guerrero San Nicolás de los Garza steel plant,Ternium México SA de CV,E100000004192,unknown [10.8%]; Ternium Argentina SA; Ternium SA,E100000132388 [10.8%]; E100000130688; E100001000384,"Avenida Guerrero Norte 151, Colonia Cuauhtémoc, San Nicolás de los Garza 66452, Nuevo León, Mexico",San Nicolás de los Garza,Nuevo León,Mexico,Latin America and the Caribbean,"25.7203270, -100.3011750",exact,83,operating,2400.0,1730.0,,,1943,,,,,25.720327,-100.301175,POINT (-100.301175 25.720327),MEX.19_1,1,MEX.19_1,,,,
1101,P100000120730,DEACERO Ramos Arizpe steel plant,DeAcero SAPI de CV,E100000000715,DeAcero SAPI de CV [100.0%],E100000000715 [100.0%],"Km. 8.5 Autopista Monterrey, Saltillo, 25900 Ramos Arizpe, Coahuila, Mexico",Ramos Arizpe,Coahuila,Mexico,Latin America and the Caribbean,"25.5111620, -100.9618480",exact,40,announced,1500.0,,,,1986,,,,,25.511162,-100.961848,POINT (-100.961848 25.511162),,0,,,,,
1102,P100000120730,DEACERO Ramos Arizpe steel plant,DeAcero SAPI de CV,E100000000715,DeAcero SAPI de CV [100.0%],E100000000715 [100.0%],"Km. 8.5 Autopista Monterrey, Saltillo, 25900 Ramos Arizpe, Coahuila, Mexico",Ramos Arizpe,Coahuila,Mexico,Latin America and the Caribbean,"25.5111620, -100.9618480",exact,40,operating,2200.0,,,,1986,,,,,25.511162,-100.961848,POINT (-100.961848 25.511162),,0,,,,,
1103,P100000120731,Tenaris TAMSA Veracruz steel plant,Tubos de Acero de Mexico SA,E100000130729,Tenaris SA [100.0%],E100000000692 [100.0%],"Carr. México, Veracruz, Km 433.7, Vía Xalapa, Veracruz, Veracruz CP 91697, Mexico",Veracruz,Veracruz,Mexico,Latin America and the Caribbean,"19.1824990, -96.2372840",exact,72,operating,1230.0,,,,1954,,,,,19.182499,-96.237284,POINT (-96.237284 19.182499),,0,,,,,
