,GEM plant ID,Plant name (English),Owner,Owner GEM entity ID,Parent (English),Parent GEM entity ID,Location address,Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,Plant age,Status,Nominal crude steel capacity (ttpa),Nominal iron capacity (ttpa),Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Retired year,latitude,longitude,geometry,GID_1,within_target_boundaries,which_boundary,GID_2,GID_3,GID_4,GID_5
0,P100000120001,Emsteel Abu Dhabi steel plant,Emsteel Building Materials PJSC,E100001016181,Emsteel Building Materials PJSC [100.0%],E100001016181 [100.0%],"Plot #10E6 7th St, Abu Dhabi Industrial City ICAD, Abu Dhabi, United Arab Emirates",Abu Dhabi Industrial City,Abu Dhabi,United Arab Emirates,,"24.3220330, 54.4679870",exact,23,operating,3500.0,4200.0,1998,2001,2003,,,,,24.322033,54.467987,POINT (54.467987 24.322033),,1,ARE.1.1_1,ARE.1.1_1,,,
1,P100000120002,BILDCO Abu Dhabi steel plant,Abu Dhabi National for Building Materials Co PJSC,E100000130760,Abu Dhabi National for Building Materials Co PJSC [100.0%],E100000130760 [100.0%],"Musaffah, Musaffah Industrial, Abu Dhabi, United Arab Emirates",Musaffah Industrial Zone,Abu Dhabi,United Arab Emirates,,"24.3787200, 54.4751530",exact,,operating,1000.0,,2017,,,,,,,24.37872,54.475153,POINT (54.475153 24.37872),,1,ARE.1.1_1,ARE.1.1_1,,,
2,P100000120004,Kurum International Elbasan steel plant,Kurum International ShA,E100000130992,Kurum International ShA [100.0%],E100000130992 [100.0%],"Ish Kombinati metalurgjik, Elbasan, Albania",Bradashesh,Elbasan,Albania,Southern Europe,"41.0946110, 20.0261170",exact,28,announced,1000.0,,,,1998,,,,,41.094611,20.026117,POINT (20.026117 41.094611),,0,,,,,
3,P100000120004,Kurum International Elbasan steel plant,Kurum International ShA,E100000130992,Kurum International ShA [100.0%],E100000130992 [100.0%],"Ish Kombinati metalurgjik, Elbasan, Albania",Bradashesh,Elbasan,Albania,Southern Europe,"41.0946110, 20.0261170",exact,28,mothballed,700.0,,,,1998,,,,,41.094611,20.026117,POINT (20.026117 41.094611),,0,,,,,
4,P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,E100000131097,Sa Machado Lda,E100002003632,"Barra de Dande, Bengo, Angoloa",Barra de Dande,Bengo,Angola,Sub-Saharan Africa,"-8.5824000, 13.4052710",exact,11,operating,500.0,,,2013,2015,,,,,-8.5824,13.405271,POINT (13.405271 -8.5824),,0,,,,,
5,P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,E100001010109,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"Ruta Provincial 21 N° 4855, Villa Constitución, Santa Fe, Argentina",Villa Constitución,Santa Fe,Argentina,Latin America and the Caribbean,"-33.2499360, -60.3004150",exact,80,operating,2000.0,600.0,,,1946,,,,,-33.249936,-60.300415,POINT (-60.300415 -33.249936),,0,,,,,
6,P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],"Dr Jorge Simini 250 B2804MHA, Campana, Argentina",Campana,Buenos Aires,Argentina,Latin America and the Caribbean,"-34.1525540, -58.9773880",exact,65.57,operating,1720.0,960.0,,,1960-07-25 00:00:00,,,,,-34.152554,-58.977388,POINT (-58.977388 -34.152554),,0,,,,,
7,P100000120007,TenarisSiderca Campana steel plant,Siderca SAIC,E100000001765,Tenaris SA [100.0%],E100000000692 [100.0%],"Dr Jorge Simini 250 B2804MHA, Campana, Argentina",Campana,Buenos Aires,Argentina,Latin America and the Caribbean,"-34.1525540, -58.9773880",exact,65.57,retired,530.0,,,,1960-07-25 00:00:00,,,,,-34.152554,-58.977388,POINT (-58.977388 -34.152554),,0,,,,,
8,P100000120008,Ternium Siderar San Nicolás steel plant,Ternium Argentina SA,E100000130688,Ternium Argentina SA [100.0%],E100000130688 [100.0%],"Av. Savio s/n, 2900 San Nicolás de los Arroyos, Buenos Aires, Argentina",San Nicolás de los Arroyos,Buenos Aires,Argentina,Latin America and the Caribbean,"-33.3736500, -60.1386970",exact,66,operating,3501.0,4015.0,,,1960,,,,,-33.37365,-60.138697,POINT (-60.138697 -33.37365),,0,,,,,
9,P100000120009,Gerdau Sipar Pérez steel plant,Sipar Aceros SA,E100001010274,Gerdau SA [98.1%],E100001010270 [98.1%],"Av. San Martin 475, 2121 Pérez, Santa Fe, Argentina",Pérez,Santa Fe,Argentina,Latin America and the Caribbean,"-32.9912336, -60.7588733",exact,9,operating,650.0,,,,2017,,,,,-32.9912336,-60.7588733,POINT (-60.7588733 -32.9912336),,0,,,,,
10,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,construction,1600.0,26.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
11,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,operating,4000.0,3300.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
12,P100000120010,Voestalpine Stahl Linz steel plant,Voestalpine Stahl GmbH,E100000130978,Voestalpine AG [100.0%],E100000000031 [100.0%],"voestalpine-Straße 3, 4020 Linz, Austria",Linz,Upper Austria,Austria,Western Europe,"48.2740230, 14.3343400",exact,86,operating pre-retirement,2000.0,1700.0,,,1940,,,,,48.274023,14.33434,POINT (14.33434 48.274023),,0,,,,,
13,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,construction,1700.0,,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
14,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,operating,720.0,826.0,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
15,P100000120011,Voestalpine Stahl Donawitz steel plant,Voestalpine Stahl Donawitz GmbH,E100000130917,Voestalpine AG [100.0%],E100000000031 [100.0%],"Kerpelystraße 199, 8700 Leoben, Austria",Leoben,Styria,Austria,Western Europe,"47.3804550, 15.0651820",exact,148,operating pre-retirement,850.0,825.0,,,1878,,,,,47.380455,15.065182,POINT (15.065182 47.380455),,0,,,,,
16,P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],"Five Islands Road, Port Kembla, NSW, 2505 Australia",Port Kembla,New South Wales,Australia,Australia and New Zealand,"-34.4638340, 150.8861910",exact,98,mothballed,,3000.0,,1926,1928,,,,,-34.463834,150.886191,POINT (150.886191 -34.463834),AUS.5_1,1,AUS.5.149_1,AUS.5.149_1,,,
17,P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],"Five Islands Road, Port Kembla, NSW, 2505 Australia",Port Kembla,New South Wales,Australia,Australia and New Zealand,"-34.4638340, 150.8861910",exact,98,operating,3200.0,,,1926,1928,,,,,-34.463834,150.886191,POINT (150.886191 -34.463834),AUS.5_1,1,AUS.5.149_1,AUS.5.149_1,,,
18,P100000120012,BlueScope Port Kembla steel plant,BlueScope Steel Ltd,E100000130689,BlueScope Steel Ltd [100.0%],E100000130689 [100.0%],"Five Islands Road, Port Kembla, NSW, 2505 Australia",Port Kembla,New South Wales,Australia,Australia and New Zealand,"-34.4638340, 150.8861910",exact,98,operating pre-retirement,,3000.0,,1926,1928,,,,,-34.463834,150.886191,POINT (150.886191 -34.463834),AUS.5_1,1,AUS.5.149_1,AUS.5.149_1,,,
19,P100000120013,GFG Liberty Steel Australia Whyalla steel plant,GFG Alliance Ltd,E100001000556,GFG Alliance Ltd [100.0%],E100001000556 [100.0%],"172 Lacey Street, Whyalla, South Australia 5600, Australia",Whyalla,South Australia,Australia,Australia and New Zealand,"-33.0093810, 137.5878360",exact,85,announced,1500.0,1800.0,,,1941,,,,,-33.009381,137.587836,POINT (137.587836 -33.009381),AUS.8_1,1,AUS.8_1,,,,
20,P100000120013,GFG Liberty Steel Australia Whyalla steel plant,GFG Alliance Ltd,E100001000556,GFG Alliance Ltd [100.0%],E100001000556 [100.0%],"172 Lacey Street, Whyalla, South Australia 5600, Australia",Whyalla,South Australia,Australia,Australia and New Zealand,"-33.0093810, 137.5878360",exact,85,operating pre-retirement,1200.0,1200.0,,,1941,,,,,-33.009381,137.587836,POINT (137.587836 -33.009381),AUS.8_1,1,AUS.8_1,,,,
21,P100000120014,GFG Liberty Laverton Steel Mill,Infrabuild Australia Pty Ltd,E100001010334,GFG Alliance Ltd,E100001000556,"Laverton North, Victoria, Australia",Laverton,Victoria,Australia,Australia and New Zealand,"-37.8313790, 144.7881690",exact,34,operating,780.0,,,,1992,,,,,-37.831379,144.788169,POINT (144.788169 -37.831379),AUS.10_1,1,AUS.10_1,,,,
22,P100000120015,GFG Liberty Sydney Steel Mill,Infrabuild Australia Pty Ltd,E100001010334,GFG Alliance Ltd,E100001000556,"Rooty Hill, New South Wales, Australia",Rooty Hill,New South Wales,Australia,Australia and New Zealand,"-33.7660100, 150.8498190",exact,44,operating,750.0,,,,1982,,,,,-33.76601,150.849819,POINT (150.849819 -33.76601),AUS.5_1,1,AUS.5.12_1,AUS.5.12_1,,,
23,P100000120016,Baku Steel Company steel plant,Baku Steel Company QSC,E100000131003,Baku Steel Company QSC [100.0%],E100000131003 [100.0%],"15 Mir-Jalal (Darnagul), Narimanov district, Baku, Azerbaijan AZ1029",Baku,Narimanov,Azerbaijan,Central Asia,"40.4313600, 49.8868670",exact,25,operating,800.0,,,,2001,,,,,40.43136,49.886867,POINT (49.886867 40.43136),,0,,,,,
24,P100000120017,Pavgord Zenica steel plant,Pavgord doo,E100001013687,Pavgord doo [100.0%],E100001013687 [100.0%],"Bulevar Kralja Tvrtka I, no. 17, 72000 Zenica, Bosnia and Herzegovina",Zenica,Zenica-Doboj,Bosnia and Herzegovina,Southern Europe,"44.2244460, 17.8998150",exact,134,operating,1940.0,1100.0,,,1892,,,,,44.224446,17.899815,POINT (17.899815 44.224446),,1,BIH.2.10.10_1,,BIH.2.10.10_1,,
25,P100000120018,GPH Steel Sitakunda plant,GPH Ispat Ltd,E100000130987,GPH Ispat Ltd [100.0%],E100000130987 [100.0%],"Mosjiddah, Kumira, Sitakunda, Chittagong, Bangladesh",Kumira,Chittagong,Bangladesh,Southern Asia,"22.5365690, 91.7007290",exact,17.5,operating,1051.0,,,,2008-08-21 00:00:00,,,,,22.536569,91.700729,POINT (91.700729 22.536569),,0,,,,,
26,P100000120019,Bashundhara Steel Mirsarai plant,Bashundhara Multi Steel Industries Ltd,E100002006720,Bashundhara Group Ltd,E100000131080,"Bashundhara Industrial Economic Zone, Zone 15, Bangabandhu Sheikh Mujib Shilpa Nagar, Mirsarai, Chittagong, Bangladesh",Mirsarai,Chittagong,Bangladesh,Southern Asia,"22.7192780, 91.4703820",exact,0,announced,,2200.0,2020,2022-09-01 00:00:00,2026,,,,,22.719278,91.470382,POINT (91.470382 22.719278),,0,,,,,
27,P100000120019,Bashundhara Steel Mirsarai plant,Bashundhara Multi Steel Industries Ltd,E100002006720,Bashundhara Group Ltd,E100000131080,"Bashundhara Industrial Economic Zone, Zone 15, Bangabandhu Sheikh Mujib Shilpa Nagar, Mirsarai, Chittagong, Bangladesh",Mirsarai,Chittagong,Bangladesh,Southern Asia,"22.7192780, 91.4703820",exact,0,construction,1250.0,,2020,2022-09-01 00:00:00,2026,,,,,22.719278,91.470382,POINT (91.470382 22.719278),,0,,,,,
28,P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,E100000131068,Abul Khair Ltd,E100000131048,"Shitalpur, Sitakund, Chittagong, Bangladesh",Sitakunda,Chittagong,Bangladesh,Southern Asia,"22.4720080, 91.7348270",exact,11,operating,1400.0,,,,2015,,,,,22.472008,91.734827,POINT (91.734827 22.472008),,0,,,,,
29,P100000120021,BSRM Steels Mirsarai plant,BSRM Steels Ltd,E100000130854,BSRM Steels Ltd [100.0%],E100000130854 [100.0%],"Kilmurari, Zorargonj, Mirsarai, Chattogram, Bangladesh",Mirsarai,Chattogram,Bangladesh,Southern Asia,"22.8737740, 91.5455620",exact,7,operating,770.0,,2016,,2019,,,,,22.873774,91.545562,POINT (91.545562 22.873774),,0,,,,,
30,P100000120022,BSRM Ltd Mirsarai steel plant,Bangladesh Steel Re-Rolling Mills Ltd,E100000120118,Bangladesh Steel Re-Rolling Mills Ltd [100.0%],E100000120118 [100.0%],"Zorargonj, Mirsarai, Chattogram, Bangladesh",Mirsarai,Chattogram,Bangladesh,Southern Asia,"22.8706310, 91.5458620",exact,9.72,operating,1150.0,,,,2016-06-01 00:00:00,,,,,22.870631,91.545862,POINT (91.545862 22.870631),,0,,,,,
31,P100000120024,KSRM Sitakunda steel plant,KSRM Steel Plant Ltd,E100000131041,KSRM Steel Plant Ltd [100.0%],E100000131041 [100.0%],"Ghoramora, Bara Kumira, Sitakunda, Chittagong, Bangladesh",Sitakunda,Chittagong,Bangladesh,Southern Asia,"22.4998340, 91.7157780",exact,42,operating,800.0,,,,1984,,,,,22.499834,91.715778,POINT (91.715778 22.499834),,0,,,,,
32,P100000120025,Star Consortium steel plant,Star Infrastructure Development Corp,E100000131025,Star Infrastructure Development Corp [100.0%],E100000131025 [100.0%],"Sino-Bangladesh International industrial Capacity Cooperation demonstrative Zone, Mirsarai, nearby Chittagong, Bangladesh",Mirsarai,Chittagong,Bangladesh,Southern Asia,"22.7741910, 91.5746010",approximate,3,cancelled,2000.0,2000.0,2017-05-01 00:00:00,,2023,,,,,22.774191,91.574601,POINT (91.574601 22.774191),,0,,,,,
33,P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"John Kennedylaan 51, B-9042 Gent, Belgium",Gent,Vlaanderen,Belgium,Western Europe,"51.1699290, 3.8044620",exact,60,cancelled,2500.0,2500.0,,,1966,,,,,51.169929,3.804462,POINT (3.804462 51.169929),,1,BEL.2.3.4.7_1,,,BEL.2.3.4.7_1,
34,P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],"John Kennedylaan 51, B-9042 Gent, Belgium",Gent,Vlaanderen,Belgium,Western Europe,"51.1699290, 3.8044620",exact,60,operating,5200.0,5000.0,,,1966,,,,,51.169929,3.804462,POINT (3.804462 51.169929),,1,BEL.2.3.4.7_1,,,BEL.2.3.4.7_1,
35,P100000120028,Aperam Stainless Belgium Genk steel plant,Aperam Stainless Belgium NV,E100000130918,Aperam SA [100.0%],E100000130966 [100.0%],"Swinnenwijerweg 5, Industriegebied Genk Zuid - Zone 6A, 3600 Genk, Belgium",Genk,Limburg,Belgium,Western Europe,"50.9339730, 5.5114940",exact,56,operating,1200.0,,,,1970,,,,,50.933973,5.511494,POINT (5.511494 50.933973),,1,BEL.2.2.1.4_1,,,BEL.2.2.1.4_1,
36,P100000120029,Aperam Stainless Belgium Châtelet steel plant,Aperam Stainless Belgium NV,E100000130918,Aperam SA [100.0%],E100000130966 [100.0%],14 rue des Ateliers,Châtelet,Wallonie,Belgium,Western Europe,"50.4149980, 4.5324430",exact,50,operating,1000.0,,,,1976,,,,,50.414998,4.532443,POINT (4.532443 50.414998),,0,,,,,
37,P100000120030,Thy Marcinelle Charleroi steel plant,Thy-Marcinelle SA,E100001010367,Riva Forni Elettrici SpA,E100000131000,"Rue De L’ Acier, 1, B-6000 Charleroi, Belgium",Charleroi,Wallonie,Belgium,Western Europe,"50.4103350, 4.4296930",exact,37,operating,800.0,,,,1989,,,,,50.410335,4.429693,POINT (4.429693 50.410335),,1,BEL.3.2.2.3_1,,,BEL.3.2.2.3_1,
38,P100000120031,Stomana Industry Pernik steel plant,Stomana Industry AD,E100000130943,Viohalco SA [100.0%],E100000131005 [100.0%],"1, Vladaisko Vastanie str., BG-2304, Pernik, Bulgaria",Pernik,Pernik,Bulgaria,Eastern Europe,"42.5956290, 23.0930950",exact,68,operating,1400.0,,,,1958,,,,,42.595629,23.093095,POINT (23.093095 42.595629),,0,,,,,
39,P100000120032,Sulb Bahrain Al Hidd steel plant,Sulb Company BSCC,E100000131139,Yamato Kogyo Co Ltd [49.0%]; Gulf Investment Corp [25.5%]; Industries Qatar QPSC [12.8%]; Gulf Cables & Electrical Industries Co KSC [5.1%]; National Industries Group Holding KSCP [5.1%]; Kuwait Foundry Company KSCP [2.6%],E100001010196 [49.0%]; E100000000675 [25.5%]; E100000000840 [12.8%]; E100001016326 [5.1%]; E100001016328 [5.1%]; E100001016329 [2.6%],"Al Hidd, Bahrain",Al Hidd,Muharraq,Bahrain,,"26.1981520, 50.6798930",exact,14,operating,1300.0,1700.0,2009,,2012,,,,,26.198152,50.679893,POINT (50.679893 26.198152),,0,,,,,
40,P100000120033,Gerdau Açominas Ouro Branco steel plant,Gerdau Acominas SA,E100001010278,Gerdau SA [100.0%],E100001010270 [100.0%],"Rod. MG-443, Km 7 s/n, Fazenda do Cadete, Ouro Branco - MG, 36420-000, Brazil",Ouro Branco,Minas Gerais,Brazil,Latin America and the Caribbean,"-20.5435070, -43.7529500",exact,40,operating,3600.0,4348.0,,,1986,,,,,-20.543507,-43.75295,POINT (-43.75295 -20.543507),BRA.13_1,1,BRA.13_1,,,,
41,P100000120034,ArcelorMittal Tubarão steel plant,ArcelorMittal Tubarão Comercial SA,E100001000507,ArcelorMittal Tubarão Comercial SA [100.0%],E100001000507 [100.0%],"Avenida Brigadeiro Eduardo Gomes, nº 526, Bairro Polo Industrial Tubarão, Serra, Espirito Santo, Brazil","Tubarão, Serra",Espírito Santo,Brazil,Latin America and the Caribbean,"-20.2534470, -40.2422980",exact,43,operating,7500.0,7280.0,,,1983,,,,,-20.253447,-40.242298,POINT (-40.242298 -20.253447),BRA.8_1,1,BRA.8_1,,,,
42,P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"Av. Getúlio Vargas, 100, Santa Bárbara, João Monlevade, Minas Gerais, 35930-150, Brazil",João Monlevade,Minas Gerais,Brazil,Latin America and the Caribbean,"-19.8321290, -43.1301640",exact,89,cancelled,1000.0,1200.0,,,1937,,,,,-19.832129,-43.130164,POINT (-43.130164 -19.832129),BRA.13_1,1,BRA.13_1,,,,
43,P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"Av. Getúlio Vargas, 100, Santa Bárbara, João Monlevade, Minas Gerais, 35930-150, Brazil",João Monlevade,Minas Gerais,Brazil,Latin America and the Caribbean,"-19.8321290, -43.1301640",exact,89,operating,1200.0,1040.0,,,1937,,,,,-19.832129,-43.130164,POINT (-43.130164 -19.832129),BRA.13_1,1,BRA.13_1,,,,
44,P100000120036,ArcelorMittal Resende steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"Av. Professor Darcy Ribeiro, 4330, Casa da Lua, 27523-300, Resende, Rio de Janeiro, Brazil",Resende,Rio de Janeiro,Brazil,Latin America and the Caribbean,"-22.4935970, -44.5126280",exact,17,operating,1000.0,,,,2009,,,,,-22.493597,-44.512628,POINT (-44.512628 -22.493597),,0,,,,,
45,P100000120037,Usiminas Cubatão steel plant,Usinas Siderurgicas de Minas Gerais SA,E100000130691,Usinas Siderurgicas de Minas Gerais SA [100.0%],E100000130691 [100.0%],"Rod. Cônego Domênico Rangoni, S/N, Jardim das Industrias, Cubatão, Sao Paulo, 11573-900, Brazil",Cubatão,São Paulo,Brazil,Latin America and the Caribbean,"-23.8630920, -46.3762940",exact,63,mothballed,4500.0,4500.0,,,1963,,2016,,,-23.863092,-46.376294,POINT (-46.376294 -23.863092),BRA.25_1,1,BRA.25_1,,,,
46,P100000120038,Ternium Brasil Santa Cruz steel plant,Ternium Brasil Ltda,E100000131066,Ternium SA [100.0%],E100001000384 [100.0%],"Av. João XXIII, s / n, Santa Cruz, 23560-352 Rio de Janeiro, RJ, Brazil",Santa Cruz,Rio de Janeiro,Brazil,Latin America and the Caribbean,"-22.9125490, -43.7416140",exact,16,operating,5200.0,5300.0,,,2010,,,,,-22.912549,-43.741614,POINT (-43.741614 -22.912549),,1,BRA.19.68_2,BRA.19.68_2,,,
47,P100000120039,CSN Volta Redonda steel plant,Companhia Siderúrgica Nacional SA,E100001000652,Companhia Siderúrgica Nacional SA [100.0%],E100001000652 [100.0%],"Highway BR393, Lucio Meira Km 5001, Vila Santa Cecilia, Volta Redonda , Rio de Janiero, Brazil",Volta Redonda,Rio de Janeiro,Brazil,Latin America and the Caribbean,"-22.5126310, -44.1128700",exact,80,operating,6251.0,5580.0,,,1946,,,,,-22.512631,-44.11287,POINT (-44.11287 -22.512631),,0,,,,,
48,P100000120040,ArcelorMittal Pecém steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"Rod CE 155, Km 11.5, Pecém, São Gonçalo do Amarante, CE 62674-000, Brazil",São Gonçalo do Amarante,Ceará,Brazil,Latin America and the Caribbean,"-3.5859170, -38.8589320",exact,10,operating,3046.0,3192.0,,,2016,,,,,-3.585917,-38.858932,POINT (-38.858932 -3.585917),BRA.6_1,1,BRA.6_1,,,,
49,P100000120041,ArcelorMittal Piracicaba steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"Av Mal Castelo Branco 101, Jardim Primavera, Piracicaba, Sao Paulo, Brazil",Piracicaba,São Paulo,Brazil,Latin America and the Caribbean,"-22.6981540, -47.6571460",exact,71,operating,1100.0,,,,1955,,,,,-22.698154,-47.657146,POINT (-47.657146 -22.698154),BRA.25_1,1,BRA.25_1,,,,
50,P100000120042,Gerdau Cosigua Santa Cruz steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],"Av. João XXIII, 6777, Industrial District of Santa Cruz, 23560-900, Rio de Janeiro, Brazil",Santa Cruz,Rio de Janeiro,Brazil,Latin America and the Caribbean,"-22.9024200, -43.7493190",exact,55,operating,936.0,,,,1971,,,,,-22.90242,-43.749319,POINT (-43.749319 -22.90242),,1,BRA.19.68_2,BRA.19.68_2,,,
51,P100000120043,Usiminas Ipatinga steel plant,Usinas Siderurgicas de Minas Gerais SA,E100000130691,Usinas Siderurgicas de Minas Gerais SA [100.0%],E100000130691 [100.0%],"Av. Pedro Linhares Gomes, 5431 - Usiminas, Ipatinga, Minas Gerais, 35160-900, Brazil",Ipatinga,Minas Gerais,Brazil,Latin America and the Caribbean,"-19.4912770, -42.5442530",exact,64,mothballed,,660.0,,,1962,,,,,-19.491277,-42.544253,POINT (-42.544253 -19.491277),BRA.13_1,1,BRA.13_1,,,,
52,P100000120043,Usiminas Ipatinga steel plant,Usinas Siderurgicas de Minas Gerais SA,E100000130691,Usinas Siderurgicas de Minas Gerais SA [100.0%],E100000130691 [100.0%],"Av. Pedro Linhares Gomes, 5431 - Usiminas, Ipatinga, Minas Gerais, 35160-900, Brazil",Ipatinga,Minas Gerais,Brazil,Latin America and the Caribbean,"-19.4912770, -42.5442530",exact,64,operating,5000.0,3660.0,,,1962,,,,,-19.491277,-42.544253,POINT (-42.544253 -19.491277),BRA.13_1,1,BRA.13_1,,,,
53,P100000120044,Vallourec Jeceaba steel plant,Vallourec Soluções Tubulares do Brasil SA,E100000130951,Vallourec SA [100.0%],E100001010324 [100.0%],"Distrito Industrial, S/N, 35.498-000 - Jeceaba, Minas Gerais, Brazil",Jeceaba,Minas Gerais,Brazil,Latin America and the Caribbean,"-20.5826830, -43.9715550",exact,15,cancelled,,500.0,,,2011,,,,,-20.582683,-43.971555,POINT (-43.971555 -20.582683),BRA.13_1,1,BRA.13_1,,,,
54,P100000120044,Vallourec Jeceaba steel plant,Vallourec Soluções Tubulares do Brasil SA,E100000130951,Vallourec SA [100.0%],E100001010324 [100.0%],"Distrito Industrial, S/N, 35.498-000 - Jeceaba, Minas Gerais, Brazil",Jeceaba,Minas Gerais,Brazil,Latin America and the Caribbean,"-20.5826830, -43.9715550",exact,15,operating,1000.0,350.0,,,2011,,,,,-20.582683,-43.971555,POINT (-43.971555 -20.582683),BRA.13_1,1,BRA.13_1,,,,
55,P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"BR-040, Km 769, Juiz de Fora, Mina Gerais, Brazil",Juiz de Fora,Minas Gerais,Brazil,Latin America and the Caribbean,"-21.6269630, -43.4623610",exact,42,cancelled,200.0,,,,1984,,,,,-21.626963,-43.462361,POINT (-43.462361 -21.626963),BRA.13_1,1,BRA.13_1,,,,
56,P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],"BR-040, Km 769, Juiz de Fora, Mina Gerais, Brazil",Juiz de Fora,Minas Gerais,Brazil,Latin America and the Caribbean,"-21.6269630, -43.4623610",exact,42,operating,1100.0,360.0,,,1984,,,,,-21.626963,-43.462361,POINT (-43.462361 -21.626963),BRA.13_1,1,BRA.13_1,,,,
57,P100000120046,AVB Açailândia steel plant,Aco Verde do Brasil SA,E100000130886,Grupo Ferroeste,E100001016289,"Rod BR 222, Km 14,5 nº 69 - Distrito de Pequiá 65930-000 - Açailândia - MA, Brazil",Açailândia,Maranhão,Brazil,Latin America and the Caribbean,"-4.8743730, -47.4073517",exact,11,operating,600.0,720.0,,,2015,,,,,-4.874373,-47.4073517,POINT (-47.4073517 -4.874373),BRA.10_1,1,BRA.10_1,,,,
58,P100000120047,Gerdau Divinópolis steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],"Av. Gabriel Passos, 102 - Porto Velho 35500-450 – Divinópolis – MG, Brazil",Divinópolis,Minas Gerais,Brazil,Latin America and the Caribbean,"-20.1539310, -44.8789950",exact,73,operating,600.0,430.0,,,1953,,,,,-20.153931,-44.878995,POINT (-44.878995 -20.153931),BRA.13_1,1,BRA.13_1,,,,
