,GEM Plant ID,GEM Asset name (English),Asset name (other language),Alternative asset name(s),SFI ID,LeadIT Project ID,Coordinates,Coordinate accuracy,GEM wiki page,Municipality,Subnational unit,Country/Area,Cement Capacity (millions metric tonnes per annum),Clinker Capacity (millions metric tonnes per annum),Majority Cement Type,Cement Color,Operating status,Start date,Owner name (English),Owner name (other language),Owner Entity ID,Parent,Parent Entity ID,Plant type,Production type,CCS/CCUS,Alternative Fuel,Clay Calcination,Alternative_to_reduce_GHG,Region,latitude,longitude,geometry,climactor_id,GDAM_id,entity_type,GID_1,which_boundaries,within_target_boundaries,GID,GID_2,GID_3,GID_4,GID_5
0,P100000123427,Afghan Cement Ghori I Cement Plant,(Pashto)د افغان سمنټو غوري I سمنټو فابریکه,,,,"35.966175, 68.686187",exact,https://www.gem.wiki/Afghan_Cement_Ghori_I_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,0.15,0.15,opc,grey,operating,1959,Afghan Cement LLC [100.0%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100.0%],E100002005112 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.966175,68.686187,POINT (68.686187 35.966175),,,,,,0,,,,,
1,P100000123428,Afghan Cement Ghori II Cement Plant,(Pashto)د افغان سمنټو غوري II سمنټو فابریکه,,GACTAFG0001,,"35.968449, 68.685855",exact,https://www.gem.wiki/Afghan_Cement_Ghori_II_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,0.15,0.365,,,operating,2009,Afghan Cement LLC [100.0%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100.0%],E100002005112 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.968449,68.685855,POINT (68.685855 35.968449),,,,,,0,,,,,
2,P100000123429,Herat Injil Cement Plant,  (Pashto)د هرات انجیل سمنټو فابریکه,,GACTAFG0002,,"34.322144, 61.953503",exact,https://www.gem.wiki/Herat_Injil_Cement_Plant,Injil,Herat,Afghanistan,1.5,0.26,,,construction,,Herat Cement [100.0%],(Pashto) د هرات سمنټو [100%],E100002006748 [100.0%],Herat Cement [100.0%],E100002006748 [100.0%],integrated,wet,no,no,no,0,Southern Asia,34.322144,61.953503,POINT (61.953503 34.322144),,,,,,0,,,,,
3,P100000123430,Jabal Saraj Cement Plant,(Pashto)د جبل السراج سمنټو فابریکه,,,,"35.127739, 69.239286",exact,https://www.gem.wiki/Jabal_Saraj_Cement_Plant,Jabal Saraj,Parwan province,Afghanistan,0.3,0.365,,,operating,1958,Jabal Saraj Cement [100.0%],(Pashto) جبل السراج سیمنټ [100%],E100002006859 [100.0%],Jabal Saraj Cement [100.0%],E100002006859 [100.0%],integrated,wet,no,no,no,0,Southern Asia,35.127739,69.239286,POINT (69.239286 35.127739),,,,,,0,,,,,
4,P100000123431,Samangan Aybak Cement Plant,(Pashto)د سمنګان ایبک سمنټو فابریکه,,,,"36.315697, 67.975715",approximate,https://www.gem.wiki/Samangan_Aybak_Cement_Plant,Aybak City,Samangan,Afghanistan,0.058,,,,operating,,Samangan Cement [100.0%],(Pashto) سمنګان سمنټو [100%],E100002006881 [100.0%],Samangan Cement [100.0%],E100002006881 [100.0%],integrated,,no,no,no,0,Southern Asia,36.315697,67.975715,POINT (67.975715 36.315697),,,,,,0,,,,,
5,P100000125193,Afghan Cement Ghori III Cement Plant,(Pashto)د افغان سمنټو غوري III سمنټو فابریکه,,,,"35.968449, 68.685855",approximate,https://www.gem.wiki/Afghan_Cement_Ghori_III_Cement_Plant,Pol-e Khomri,Baghlan,Afghanistan,2,1.46,,,cancelled,,Afghan Cement LLC [100%],(Pashto) افغان سیمنټ [100%],E100002005112 [100.0%],Afghan Cement LLC [100%],E100002005112 [100.0%],integrated,dry,no,no,no,0,Southern Asia,35.968449,68.685855,POINT (68.685855 35.968449),,,,,,0,,,,,
6,P100000125831,Yateem Taq Cement Plant,,,,,"36.933767, 65.926856",approximate,https://www.gem.wiki/Yateem_Taq_Cement_Plant,,Jowzjan province,Afghanistan,1.1,,,,announced,,Ministry of Mines and Petroleum (Afghanistan) [unknown%],,E100001014061 [unknown%],Ministry of Mines and Petroleum (Afghanistan) [unknown%],E100001014061 [unknown%],,,,,,0,Southern Asia,36.933767,65.926856,POINT (65.926856 36.933767),,,,,,0,,,,,
7,P100000126179,Logar Cement Plant,,,,,"34.038956, 69.130296",approximate,https://www.gem.wiki/Logar_Cement_Plant,,Logar province,Afghanistan,0.91,,,,announced,,Afghan Sak [unknown%],,E100002015369 [unknown%],Afghan Sak [unknown%],E100002015369 [unknown%],,,,,,0,Southern Asia,34.038956,69.130296,POINT (69.130296 34.038956),,,,,,0,,,,,
8,P100000127200,Shur Andam Cement Plant,(Pashto)د شور اندام سمنټو فابریکه,,,,"31.555655, 65.814539",approximate,https://www.gem.wiki/Shur_Andam_Cement_Plant,Shorandam,Kandahar,Afghanistan,1.5,,,,announced,,Shurandam Cement [100.0%], (Pashto) شورانډم سیمنټ [100%],E100002015780 [100.0%],Shurandam Cement [100.0%],E100002015780 [100.0%],,,no,no,no,0,Southern Asia,31.555655,65.814539,POINT (65.814539 31.555655),,,,,,0,,,,,
9,P100000125239,Balldre Cement Plant,Stabilimenti Balldre (Albanian),,GACTALB0001,,"41.836818, 19.632962",exact,https://www.gem.wiki/Balldre_Cement_Plant,Balldre,Lezha,Albania,0.32,,blended,grey,operating,2009,Colacem SpA [100.0%],,E100002006121 [100.0%],Financo SRL [unknown%],E100002006286 [unknown%],grinding,,,,,0,Southern Europe,41.836818,19.632962,POINT (19.632962 41.836818),,,,,,0,,,,,
10,P100000125240,Borizane Cement Plant,Fabrika e Çimentos Borizanë (Albanian),,GACTALB0003,,"41.547482, 19.727168",exact,https://www.gem.wiki/Borizane_Cement_Plant,Borizane,Durres,Albania,1.4,1.2,,grey,operating,2010,ANTEA Cement ShA [100.0%],,E100002006183 [100.0%],Titan Cement Company SA [100.0%],E100002005110 [100.0%],integrated,dry,no,no,no,0,Southern Europe,41.547482,19.727168,POINT (19.727168 41.547482),,,,,,0,,,,,
11,P100000125242,Elbasen Cement Plant,,,GACTALB0004,,"41.120562, 20.043320",exact,https://www.gem.wiki/Elbasen_Cement_Plant,Elbasa,Kusarth,Albania,0.1,,,grey,operating,,Seament Holding [100.0%],,E100002006762 [100.0%],Seament Holding [100.0%],E100002006762 [100.0%],grinding,,,,,0,Southern Europe,41.120562,20.04332,POINT (20.04332 41.120562),,,,,,0,,,,,
12,P100000125243,Fushi Kruji Cement Plant,Fabrika e Çimentos Fushë-Krujë (Albanian),,GACTALB0002,,"41.501385, 19.740948",exact,https://www.gem.wiki/Fushi_Kruji_Cement_Plant,Fushi Kruji,Durres,Albania,1.9,1.46,,grey,operating,2007,Seament Holding [100.0%],,E100002006762 [100.0%],Seament Holding [100.0%],E100002006762 [100.0%],integrated,dry,no,no,no,0,Southern Europe,41.501385,19.740948,POINT (19.740948 41.501385),,,,,,0,,,,,
13,P100000123051,El Ma Labiod Cement Plant,مصنع الإسمنت تبسة (Arabic),,GACTDZA0009,,"35.231756, 8.174807",exact,https://www.gem.wiki/El_Ma_Labiod_Cement_Plant,El Ma Labiod,Tebessa Province,Algeria,0.6,1,,,operating,,Societe Des Ciments El Ma Labiod [100.0%],,E100002006404 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,35.231756,8.174807,POINT (8.174807 35.231756),,,,,,0,,,,,
14,P100000123060,Beni Saf Cement Plant,شركة الإسمنت لبني صاف (Arabic) ,,GACTDZA0011,,"35.311282, -1.342501",exact,https://www.gem.wiki/Beni_Saf_Cement_Plant,Beni Saf,Ain Temouchent Province,Algeria,1.2,1,blended,grey,operating,1979,Société des Ciments de Béni-Saf [100.0%],,E100002006411 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,35.311282,-1.342501,POINT (-1.342501 35.311282),,,,,,0,,,,,
15,P100000123062,Zahana Cement Plant,شركة الإسمنت الزهانة (Arabic),,GACTDZA0012,,"35.459761, -0.395578",exact,https://www.gem.wiki/Zahana_Cement_Plant,Zahana,Mascara Province,Algeria,1.2,1.14,blended,grey,operating,1947,Societe des Ciments de Zahana [100.0%],,E100002006408 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,semidry,no,no,no,0,Northern Africa,35.459761,-0.395578,POINT (-0.395578 35.459761),,,,,,0,,,,,
16,P100000123145,Sigus Cement Plant,مصنع سيقوس للاسمنت جيكا (Arabic),,GACTDZA0013,,"36.086305, 6.804748",exact,https://www.gem.wiki/Sigus_Cement_Plant,Sigus,Oum El Bouaghi Province,Algeria,2,2.19,blended,grey,operating,2019,Société des Ciments de Sigus [100.0%],,E100002006410 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.086305,6.804748,POINT (6.804748 36.086305),,,,,,0,,,,,
17,P100000123147,Bechar Cement Plant,مصنع إسمنت الساوره (Arabic),,GACTDZA0014,,"31.853540, -1.931976",exact,https://www.gem.wiki/Bechar_Cement_Plant,Bechar,Bechar Province,Algeria,1,1,,grey,operating,2017,Saoura Cement Company SpA [100.0%],,E100002006823 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,,no,no,no,0,Northern Africa,31.85354,-1.931976,POINT (-1.931976 31.85354),,,,,,0,,,,,
18,P100000123231,Oggaz Cement Plant,لافارج هولسيم عقاز (Arabic),Lafarge Holcim Oggaz Plant,GACTDZA0017,,"35.533798, -0.275539",exact,https://www.gem.wiki/Oggaz_Cement_Plant,Oggaz,Mascara Province,Algeria,3.8,,,both,operating,2007,Lafarge Ciment d’Oggaz SpA [100.0%],,E100002007043 [100.0%],Holcim AG [100.0%],E100001000571 [100.0%],integrated,dry,no,no,no,0,Northern Africa,35.533798,-0.275539,POINT (-0.275539 35.533798),,,,,,0,,,,,
19,P100000123926,Hammam Dalaa Cement Plant,,M'sila Cement Plant,GACTDZA0016,,"35.878174, 4.445990",exact,https://www.gem.wiki/Hammam_Dalaa_Cement_Plant,Hammam Dalaa,M'Sila Province,Algeria,5,,,,operating,2003,Lafarge Ciment de M’sila SpA [100.0%],,E100002007041 [100.0%],Holcim AG [100.0%],E100001000571 [100.0%],integrated,dry,no,no,no,0,Northern Africa,35.878174,4.44599,POINT (4.44599 35.878174),,,,,,0,,,,,
20,P100000124041,Djemorah Cement Plant,,CILAS Cement Plant,GACTDZA0015,,"35.096925, 5.647438",exact,https://www.gem.wiki/Djemorah_Cement_Plant,Djemorah,Biskra Province,Algeria,2.7,,,,operating,2016,Ciments Lafarge Souakri SpA [100.0%],,E100002015529 [100.0%],Holcim AG [unknown%],E100001000571 [unknown%],integrated,dry,no,no,no,0,Northern Africa,35.096925,5.647438,POINT (5.647438 35.096925),,,,,,0,,,,,
21,P100000125190,Ouled Adouane Cement Plant,مصنــع إسمنــــت عيــن كبيـــرة (Arabic),Ain Kebira Cement Plant,GACTDZA0010,,"36.333903, 5.480968",exact,https://www.gem.wiki/Ouled_Adouane_Cement_Plant,Ouled Adouane,Sétif Province,Algeria,3,3.2,,,operating,1978,Societe des Ciments d'Ain El Kebira [100.0%],,E100002006407 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.333903,5.480968,POINT (5.480968 36.333903),,,,,,0,,,,,
22,P100000126180,Djelfa Cement Plant,,,,,"34.667104, 3.252823",approximate,https://www.gem.wiki/Djelfa_Cement_Plant,Djelfa,Djelfa Province,Algeria,1.8,,,,announced,,Groupe industriel des ciments d'Algérie SpA [unknown%],,E100002006398 [unknown%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],,,,,,0,Northern Africa,34.667104,3.252823,POINT (3.252823 34.667104),,,,,,0,,,,,
23,P100000126181,Timegtane Cement Plant,,,,,"27.259465, 1.216848",exact,https://www.gem.wiki/Timegtane_Cement_Plant,Timegtane,Adrar Province,Algeria,1,,,,operating,2017,Groupe industriel des ciments d'Algérie SpA [100.0%],,E100002006398 [100.0%],Groupe industriel des ciments d'Algérie SpA [100.0%],E100002006398 [100.0%],,,,,,0,Northern Africa,27.259465,1.216848,POINT (1.216848 27.259465),,,,,,0,,,,,
24,P100000126182,El Beidha Cement Plant,,,,,"34.436253, 2.056767",exact,https://www.gem.wiki/El_Beidha_Cement_Plant,El Beidha,Laghouat Province,Algeria,2.5,,blended,grey,operating,2018,Amouda Cement [100.0%],,E100002015391 [100.0%],Amouda Cement [100.0%],E100002015391 [100.0%],grinding,,,,,0,Northern Africa,34.436253,2.056767,POINT (2.056767 34.436253),,,,,,0,,,,,
25,P100000126861,Sour El Ghozlane Cement Plant,مصنع الاسمنت سور الغزلان (Arabic),,GACTDZA0001,,"36.179936, 3.749432",exact,https://www.gem.wiki/Sour_El_Ghozlane_Cement_Plant,Sour El Ghozlane,Bouira Province,Algeria,1,0.5,blended,grey,operating,,Societe des Ciments de Sour El Ghozlane SpA [100.0%],,E100002006397 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.179936,3.749432,POINT (3.749432 36.179936),,,,,,0,,,,,
26,P100000126862,Bekkouche Lakhdar Cement Plant,شركة الإسمنت حجر السود (Arabic),Hadjar Soud Cement Plant,GACTDZA0002,,"36.762579, 7.308979",exact,https://www.gem.wiki/Bekkouche_Lakhdar_Cement_Plant,Bekkouche Lakhdar,Skikda Province,Algeria,0.9,1.19,blended,grey,operating,1973,Societe Des Ciments De Hadjar Soud SpA [100.0%],,E100002006402 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.762579,7.308979,POINT (7.308979 36.762579),,,,,,0,,,,,
27,P100000126863,Meftah Cement Plant,مصنع الإسمنت للمتيجة (Arabic),,GACTDZA0003,,"36.631076, 3.232658",exact,https://www.gem.wiki/Meftah_Cement_Plant,Meftah,Blida Province,Algeria,1.5,1.31,,,operating,,Société des Ciments Mitidja-Meftah [100.0%],,E100002006417 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.631076,3.232658,POINT (3.232658 36.631076),,,,,,0,,,,,
28,P100000126864,Rais Hamidou Cement Plant,مصنع الاسمنت العاصمة رايس حميدو (Arabic),,GACTDZA0004,,"36.815449, 3.016195",exact,https://www.gem.wiki/Rais_Hamidou_Cement_Plant,Rais Hamidou,Alger Province,Algeria,0.45,,,,retired,,Société des Ciments Algérois Raïs Hamidou [100.0%],,E100002006414 [100.0%],Société des Ciments Algérois Raïs Hamidou [100.0%],E100002006414 [100.0%],integrated,wet,,,,0,Northern Africa,36.815449,3.016195,POINT (3.016195 36.815449),,,,,,0,,,,,
29,P100000126865,Chelf Cement Plant,إسمنت الشلف (Arabic),,GACTDZA0005,,"36.127272, 1.242557",exact,https://www.gem.wiki/Chelf_Cement_Plant,Chelf,Chelf Province,Algeria,4.2,3.6,,,operating,,El Chellif Cement and Derivatives Co [100.0%],,E100002006464 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,,no,no,no,0,Northern Africa,36.127272,1.242557,POINT (1.242557 36.127272),,,,,,0,,,,,
30,P100000126866,Tilatou Cement Plant,عين التوتة للإسمنت (Arabic),Ain Touta Cement Plant,GACTDZA0006,,"35.350393, 5.762286",exact,https://www.gem.wiki/Tilatou_Cement_Plant,Tilatou,Batna Province,Algeria,1,1.9,,grey,operating,1986,Societe Des Ciments D'AïnTouta [100.0%],,E100002006405 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,35.350393,5.762286,POINT (5.762286 35.350393),,,,,,0,,,,,
31,P100000126867,Didouche Mourad Cement Plant,مصنع أسمنت حماة بوزيان (Arabic),Hamma Bouziane Cement Plant,GACTDZA0007,,"36.430764, 6.623070",exact,https://www.gem.wiki/Didouche_Mourad_Cement_Plant,Didouche Mourad,Constantine Province,Algeria,1,0.42,blended,grey,operating,1998,Societe Des Ciments De Hamma Bouziane SpA [100.0%],,E100002006419 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,36.430764,6.62307,POINT (6.62307 36.430764),,,,,,0,,,,,
32,P100000126868,El Hassasna Cement Plant,شركة الإسمنت سعيدة (Arabic),Saida Cement Plant,GACTDZA0008,,"34.799728, 0.328059",exact,https://www.gem.wiki/El_Hassasna_Cement_Plant,El Hassasna,Saida Province,Algeria,0.5,0.621,blended,grey,operating,1979,Societe Des Ciments De Saida [100.0%],,E100002006400 [100.0%],Groupe industriel des ciments d'Algérie SpA [unknown%],E100002006398 [unknown%],integrated,dry,no,no,no,0,Northern Africa,34.799728,0.328059,POINT (0.328059 34.799728),,,,,,0,,,,,
33,P100000125529,Kikolo Cement Plant,Unidade de Cimento da Cimangola (Portugese),nova Cimangola Luanda Cement Plant,GACTAGO0001,GCTTB007,"-8.766173, 13.316051",exact,https://www.gem.wiki/Kikolo_Cement_Plant,Kikolo,Luanda,Angola,1.8,1.8,,,retired,2017,Nova Cimangola SA [100.0%],,E100002006197 [100.0%],natural person(s) [59.0%]; Government of Angola [30.0%]; Banco Angolano de Investimentos SA [11.0%],E100000123261 [59.0%]; E100001012407 [30.0%]; E100002007446 [11.0%],integrated,,no,no,yes,1,Sub-Saharan Africa,-8.766173,13.316051,POINT (13.316051 -8.766173),,,,,,0,,,,,
34,P100000125530,Cacuaco Cement Plant,Unidade de Cimento da nova Cimangola II (Portugese),nova Cimangola II Cement Plant,GACTAGO0002,,"-8.796392, 13.426780",exact,https://www.gem.wiki/Cacuaco_Cement_Plant,Cacuaco,Luanda,Angola,2.4,0.7,,,operating,2018,Nova Cimangola SA [100.0%],,E100002006197 [100.0%],natural person(s) [59.0%]; Government of Angola [30.0%]; Banco Angolano de Investimentos SA [11.0%],E100000123261 [59.0%]; E100001012407 [30.0%]; E100002007446 [11.0%],integrated,dry,no,no,no,0,Sub-Saharan Africa,-8.796392,13.42678,POINT (13.42678 -8.796392),,,,,,0,,,,,
35,P100000125531,Lobito Cement Plant,Unidade de Cimento Lobito (Portugese),,GACTAGO0003,,"-12.342644, 13.581766",exact,https://www.gem.wiki/Lobito_Cement_Plant,Lobito,Benguela,Angola,0.35,,,,operating,,SECIL - Companhia Geral de Cal e Cimento SA [51.0%]; Government of Portugal [49.0%],,E100002006194 [51.0%]; E100001016651 [49.0%],Semapa - Sociedade de Investimento e Gestão SGPS SA [51.0%]; Government of Portugal [49.0%],E100000000838 [51.0%]; E100001016651 [49.0%],grinding,,,,,0,Sub-Saharan Africa,-12.342644,13.581766,POINT (13.581766 -12.342644),,,,,,0,,,,,
36,P100000125532,Sumbe Cement Plant,Fabrica de Cimento do Kwanza Sul (FCKS) Sumbe Cement Plant (Portugese),,GACTAGO0004,,"-11.185243, 14.030804",exact,https://www.gem.wiki/Sumbe_Cement_Plant,Sumbe,Kwanza-Sul,Angola,1.4,1.7,,,operating,2013,Fabrica de Cimento do Kwanza Sul SA [100.0%],"Fábrica de Cimento do Kwanza-Sul, SA (FCKS) [100%] (Portugese)",E100002007028 [100.0%],Fabrica de Cimento do Kwanza Sul SA [100.0%],E100002007028 [100.0%],integrated,dry,no,no,no,0,Sub-Saharan Africa,-11.185243,14.030804,POINT (14.030804 -11.185243),,,,,,0,,,,,
37,P100000125533,Mazozo Cement Plant,Unidade de Cimento da China International Fund do Bom Jesus (Portugese),CIF Bom Jesus Cement Plant,GACTAGO0005,,"-9.101295, 13.567408",exact,https://www.gem.wiki/Mazozo_Cement_Plant,Mazozo,Ícolo e Bengo,Angola,3.6,3.2,,,operating,2014,China International Fund Ltd [100.0%],,E100002006145 [100.0%],China International Fund Ltd [100.0%],E100002006145 [100.0%],integrated,dry,no,no,no,0,Sub-Saharan Africa,-9.101295,13.567408,POINT (13.567408 -9.101295),,,,,,0,,,,,
38,P100000125534,Benguela Cement Plant,Unidade de Cimento da Cimentos Forte Lobito (Portugese),Cimentos Forte Lobito Cement Plant,GACTAGO0006,,"-12.537825, 13.496729",exact,https://www.gem.wiki/Benguela_Cement_Plant,Benguela,Benguela,Angola,1.4,1.5,blended,grey,operating,2012,Cimenfort Industrial Lda [100.0%],,E100002006176 [100.0%],Genea Angola [unknown%],E100002006177 [unknown%],integrated,,no,no,no,0,Sub-Saharan Africa,-12.537825,13.496729,POINT (13.496729 -12.537825),,,,,,0,,,,,
39,P100000127587,Catumbela Cement Plant,,,,,"-12.419884, 13.549832",approximate,https://www.gem.wiki/Catumbela_Cement_Plant,Catumbela,Benguela,Angola,,,,,construction,,Societe Nouvelle Du Littoral SAS [100.0%],,E100002015790 [100.0%],Association Technique de l’Industrie des Liants Hydrauliques [unknown%]; Heidelberg Materials AG [unknown%]; Holcim AG [unknown%]; Vicat SA [unknown%],E100002015791 [unknown%]; E100000000414 [unknown%]; E100001000571 [unknown%]; E100002002419 [unknown%],integrated,,,,,0,Sub-Saharan Africa,-12.419884,13.549832,POINT (13.549832 -12.419884),,,,,,0,,,,,
40,P100000126201,Cementos Avellaneda Olavarría Plant,Fábrica de Cemento Olavarría (Spanish),Fábrica de Cemento Avellaneda (Spanish),GACTARG0001,,"-36.982432, -60.243942",exact,https://www.gem.wiki/Cementos_Avellaneda_Olavarría_Plant,Olavarría,Provincia de Buenos Aires,Argentina,2.365,,blended,grey,operating,1937,Cementos Avellaneda SA [100.0%],,E100002001975 [100.0%],Cementos Avellaneda SA [100.0%],E100002001975 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-36.982432,-60.243942,POINT (-60.243942 -36.982432),,,,,,0,,,,,
41,P100000126202,Belgrano Cement Plant,Fábrica de Cemento San Luis (Spanish),San Luis Cement Plant,GACTARG0002,,"-32.862443, -66.850896",exact,https://www.gem.wiki/Belgrano_Cement_Plant,Belgrano,San Luis,Argentina,1,,blended,grey,operating,1975,Cementos Avellaneda SA [100.0%],,E100002001975 [100.0%],Cementos Avellaneda SA [100.0%],E100002001975 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-32.862443,-66.850896,POINT (-66.850896 -32.862443),,,,,,0,,,,,
42,P100000126203,Campana Cement Plant,Fábrica de Cemento Campana (Spanish),,GACTARG0016,,"-34.151782, -59.016309",exact,https://www.gem.wiki/Campana_Cement_Plant,Campana Partido,Provincia de Buenos Aires,Argentina,1.2,,blended,both,operating,1999,Holcim (Argentina) SA [100.0%],,E100002015667 [100.0%],Holcim (Argentina) SA [100.0%],E100002015667 [100.0%],grinding,,,,,0,Latin America and the Caribbean,-34.151782,-59.016309,POINT (-59.016309 -34.151782),,,,,,0,,,,,
43,P100000126204,Las Heras Cement Plant,Fábrica de Cemento Capdeville (Spanish),Capdeville Cement Plant,GACTARG0011,,"-32.739253, -68.845197",exact,https://www.gem.wiki/Las_Heras_Cement_Plant,Las Heras,Mendoza,Argentina,0.66,,blended,both,operating,1936,Holcim (Argentina) SA [100.0%],,E100002015667 [100.0%],Holcim (Argentina) SA [100.0%],E100002015667 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-32.739253,-68.845197,POINT (-68.845197 -32.739253),,,,,,0,,,,,
44,P100000126205,Santa María Cement Plant,Fábrica de Cemento Malagueño (Spanish),Malagueño Cement Plant,GACTARG0012,,"-31.482087, -64.352965",exact,https://www.gem.wiki/Santa_María_Cement_Plant,Santa María,Córdoba,Argentina,4.7,1.1,blended,both,operating,1930,Holcim (Argentina) SA [100.0%],,E100002015667 [100.0%],Holcim (Argentina) SA [100.0%],E100002015667 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-31.482087,-64.352965,POINT (-64.352965 -31.482087),,,,,,0,,,,,
45,P100000126206,El Carmen Cement Plant,Fábrica de Cemento Puesto Viejo (Spanish),Puesto Viejo Cement Plant,GACTARG0013,,"-24.490598, -64.957567",exact,https://www.gem.wiki/El_Carmen_Cement_Plant,El Carmen,Jujuy,Argentina,1.31,,blended,both,operating,1981,Holcim (Argentina) SA [100.0%],,E100002015667 [100.0%],Holcim (Argentina) SA [100.0%],E100002015667 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-24.490598,-64.957567,POINT (-64.957567 -24.490598),d9afd0db53e43fce,ARG.38,Region,ARG.38,GID_1,1,GID_1,,,,
46,P100000126207,Yocsina Cement Plant,Fábrica de Cemento Yocsina (Spanish),,GACTARG0015,,"-31.444889, -64.37047",exact,https://www.gem.wiki/Yocsina_Cement_Plant,Yocsina,Córdoba,Argentina,,,blended,,retired,1963,Holcim (Argentina) SA [100.0%],,E100002015667 [100.0%],Holcim (Argentina) SA [100.0%],E100002015667 [100.0%],grinding,,,,,0,Latin America and the Caribbean,-31.444889,-64.37047,POINT (-64.37047 -31.444889),,,,,,0,,,,,
47,P100000126208,Villa Cacique Cement Plant,Fábrica de Cemento Baker (Spanish),Barker Cement Plant,GACTARG0003,,"-37.683682, -59.388818",exact,https://www.gem.wiki/Villa_Cacique_Cement_Plant,Villa Cacique,Provincia de Buenos Aires,Argentina,1.3,,blended,grey,operating,1950,Loma Negra Compania Industrial Argentina SA [100.0%],,E100002015722 [100.0%],Loma Negra Compania Industrial Argentina SA [100.0%],E100002015722 [100.0%],grinding,,,,,0,Latin America and the Caribbean,-37.683682,-59.388818,POINT (-59.388818 -37.683682),,,,,,0,,,,,
48,P100000126209,El Alto Department Cement Plant,Fábrica de Cemento Catamarca (Spanish),Catamarca Cement Plant,GACTARG0004,,"-28.467957, -65.227789",exact,https://www.gem.wiki/El_Alto_Department_Cement_Plant,El Alto Department,Catamarca Province,Argentina,2.2,1,blended,grey,operating,1980,Loma Negra Compania Industrial Argentina SA [100.0%],,E100002015722 [100.0%],Loma Negra Compania Industrial Argentina SA [100.0%],E100002015722 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-28.467957,-65.227789,POINT (-65.227789 -28.467957),,,,,,0,,,,,
49,P100000126210,Loma Negra Compania Industrial Argentina Olavarría Plant,Fábrica de Cemento L'Amali (Spanish),L'Amali Cement Plant,GACTARG0005,,"-37.038897, -60.294838",exact,https://www.gem.wiki/Loma_Negra_Compania_Industrial_Argentina_Olavarría_Plant,Olavarría,Buenos Aires Province,Argentina,6,3.8,blended,grey,operating,2001,Loma Negra Compania Industrial Argentina SA [100.0%],,E100002015722 [100.0%],Loma Negra Compania Industrial Argentina SA [100.0%],E100002015722 [100.0%],integrated,dry,no,yes,no,1,Latin America and the Caribbean,-37.038897,-60.294838,POINT (-60.294838 -37.038897),,,,,,0,,,,,
50,P100000126211,Villa Fortabat Cement Plant,Fábrica de Cemento Olavarría (Spanish),Olavarria Cement Plant,GACTARG0006,,"-36.99286, -60.276544",exact,https://www.gem.wiki/Villa_Fortabat_Cement_Plant,Villa Fortabat,Provincia de Buenos Aires,Argentina,1.6,1,blended,grey,operating,1930,Loma Negra Compania Industrial Argentina SA [100.0%],,E100002015722 [100.0%],Loma Negra Compania Industrial Argentina SA [100.0%],E100002015722 [100.0%],integrated,dry,,,,0,Latin America and the Caribbean,-36.99286,-60.276544,POINT (-60.276544 -36.99286),,,,,,0,,,,,
