,GEM Plant ID,GEM Asset name (English),Asset name (other language),Alternative asset name(s),SFI ID,LeadIT Project ID,Coordinates,Coordinate accuracy,GEM wiki page,Municipality,Subnational unit,Country/Area,Cement Capacity (millions metric tonnes per annum),Clinker Capacity (millions metric tonnes per annum),Majority Cement Type,Cement Color,Operating status,Start date,Owner name (English),Owner name (other language),Owner Entity ID,Parent,Parent Entity ID,Plant type,Production type,CCS/CCUS,Alternative Fuel,Clay Calcination,Alternative_to_reduce_GHG,Region,latitude,longitude,geometry,climactor_id,GDAM_id,entity_type,GID_1,which_boundaries,within_target_boundaries,GID,GID_2,GID_3,GID_4,GID_5
2373,P100000125431,Bamburi Athi River Cement Plant,,Nairobi grinding Cement Plant,GACTKEN0006,,"-1.434559, 36.959825",exact,https://www.gem.wiki/Bamburi_Athi_River_Cement_Plant,Athi River,Machakos County,Kenya,2.4,,blended,,operating,1998,Bamburi Cement PLC [100.0%],,E100002005792 [100.0%],Bamburi Cement PLC [100.0%],E100002005792 [100.0%],grinding,,,,,0,Sub-Saharan Africa,-1.434559,36.959825,POINT (36.959825 -1.434559),,,,,,0,,,,,
2374,P100000125432,Mkomani Cement Plant,,Mombasa Vipingo Plant,GACTKEN0007,,"-3.736371, 39.845107",exact,https://www.gem.wiki/Mkomani_Cement_Plant,Mkomani,Kilifi County,Kenya,1,2.6,,grey,operating,2009,Mombasa Cement Ltd [100.0%],,E100000149664 [100.0%],Mombasa Cement Ltd [100.0%],E100000149664 [100.0%],integrated,dry,no,no,no,0,Sub-Saharan Africa,-3.736371,39.845107,POINT (39.845107 -3.736371),,,,,,0,,,,,
2375,P100000125433,Mombasa Athi River Cement Plant,,,GACTKEN0008,,"-1.431349, 36.961717",exact,https://www.gem.wiki/Mombasa_Athi_River_Cement_Plant,Athi River,Machakos County,Kenya,1.8,,,,operating,2012,Mombasa Cement Ltd [100.0%],,E100000149664 [100.0%],Mombasa Cement Ltd [100.0%],E100000149664 [100.0%],grinding,,,,,0,Sub-Saharan Africa,-1.431349,36.961717,POINT (36.961717 -1.431349),,,,,,0,,,,,
2376,P100000125434,KRSL Athi River Cement Plant,,NDOVU NAKURU Cement Project,GACTKEN0009,,"-1.427661, 36.957124",exact,https://www.gem.wiki/KRSL_Athi_River_Cement_Plant,Athi River,Machakos County,Kenya,0.26,,blended,,operating,2016,Karsan Ramji & Sons Ltd [100.0%],,E100002006914 [100.0%],Karsan Ramji & Sons Ltd [100.0%],E100002006914 [100.0%],grinding,,,,,0,Sub-Saharan Africa,-1.427661,36.957124,POINT (36.957124 -1.427661),,,,,,0,,,,,
2377,P100000125435,Savannah Athi River Cement Plant,,,GACTKEN0010,,"-1.459422, 36.963062",exact,https://www.gem.wiki/Savannah_Athi_River_Cement_Plant,Athi River,Machakos County,Kenya,1.5,,,,construction,,Savannah Cement Ltd [100.0%],,E100002006790 [100.0%],Seruji Ltd [60.0%],E100002006791 [60.0%],grinding,,,,,0,Sub-Saharan Africa,-1.459422,36.963062,POINT (36.963062 -1.459422),,,,,,0,,,,,
2378,P100000125436,Dangote Kitui Cement Plant,,Kitui Factory,,,"-1.564222, 38.372812",approximate,https://www.gem.wiki/Dangote_Kitui_Cement_Plant,,Kitui County,Kenya,2,,blended,grey,construction,,Dangote Cement PLC [100.0%],,E100001000659 [100.0%],Dangote Cement PLC [100.0%],E100001000659 [100.0%],,,no,no,no,0,Sub-Saharan Africa,-1.564222,38.372812,POINT (38.372812 -1.564222),,,,,,0,,,,,
2379,P100000125438,Salgaa Cement Plant,,Nakuru Plant,,,"-0.305386, 36.051592",approximate,https://www.gem.wiki/Salgaa_Cement_Plant,Salgaa,Nakuru County,Kenya,0.75,,,grey,operating,2020,National Cement Company Ltd [100.0%],,E100002000297 [100.0%],Devki Group [unknown%],E100000120326 [unknown%],integrated,,no,no,no,0,Sub-Saharan Africa,-0.305386,36.051592,POINT (36.051592 -0.305386),,,,,,0,,,,,
2380,P100000126173,Chasimba Cement Plant,,Mashujaa Q&M PLC factory; Mashujaa Cement Factory,,,"-3.738091, 39.693697",approximate,https://www.gem.wiki/Chasimba_Cement_Plant,Chasimba,Kilifi County,Kenya,,,,,announced,,Mashujaa Cement Q&M PLC [100.0%],,E100002015741 [100.0%],Mashujaa Cement Q&M PLC [100.0%],E100002015741 [100.0%],integrated,,,,,0,Sub-Saharan Africa,-3.738091,39.693697,POINT (39.693697 -3.738091),,,,,,0,,,,,
2381,P100000126457,Hani i Elezit Cement Plant,,,GACTXKX0001,,"42.146265, 21.299890",exact,https://www.gem.wiki/Hani_i_Elezit_Cement_Plant,Hani i Elezit,District of Ferizaj,Kosovo,0.694,0.525,,grey,operating,1936,Sharrcem SHPK [100.0%],,E100002006604 [100.0%],Titan Cement Company SA [100.0%],E100002005110 [100.0%],integrated,dry,no,yes,no,1,,42.146265,21.29989,POINT (21.29989 42.146265),,,,,,0,,,,,
2382,P100000127020,Kuwait Cement Shuaiba Plant,شركة اسمنت الكويت (Arabic),,GACTKWT0001,,"29.039142, 48.146083",exact,https://www.gem.wiki/Kuwait_Cement_Shuaiba_Plant,Shuabia,Al Ahmadi Governorate,Kuwait,5,5,opc,both,operating,1972,Kuwait Cement Company KSCP [100.0%],,E100002007015 [100.0%],Kuwait Cement Company KSCP [100.0%],E100002007015 [100.0%],integrated,dry,no,no,no,0,,29.039142,48.146083,POINT (48.146083 29.039142),,,,,,0,,,,,
