climactor_id,plan_type,plan_name,plan_adopted_year,plan_end_year,plan_boundary,plan_boundary_desc,plan_url,plan_comments,datasource_id
d7a7a2086086e11e,Adaptation,Urban Forest Masterplan -,2021,2051,Same,Boundary same as jurisdiction,https://www.birmingham.gov.uk/downloads/file/18618/route_to_zero_action_plan_-_call_to_actionhttps://naturallybirmingham.files.wordpress.com/2022/06/city-of-nature-may-2022-print.pdfhttp://birminghamtreepeople.org.uk/birminghams-urban-forest-master-plan/,4mil figure is based on what is spent per year on urban forest management. Tree canopy tool: https://uk.pg-cloud.com/BTP/ Explanation from a council officer on how to use the tool: https://www.youtube.com/watch?v=wKhDt1jTOCc,CDP Cities 2024
8fddb00786ed6d0a,Integrated,NA,2020,2030,Same,Boundary same as jurisdiction,"https://www.bristolonecity.com/wp-content/uploads/2020/02/one-city-climate-strategy.pdfhttps://www.bristol.gov.uk/files/documents/766-mayors-climate-emergency-action-plan-2019-final/file#:~:text=With%20this%20in%20mind%2C%20in,Direct%20and%20Indirect%20emissions%5D%3Bhttps://www.bristol.gov.uk/files/documents/5241-climate-emergency-action-plan/file#:~:text=We%20have%20significant%20commitments%20to,under%20our%20control%20by%202025.","The strategy was created by a team including representatives of our strategic partnership, the Environment Board of the City Office (who acted as the main client for the strategy), City Council Officers (from different departments) and consultants who developed the evidence base and drew together the drafting of the climate strategy.",CDP Cities 2024
8fddb00786ed6d0a,Mitigation,NA,2019,2026,Same,Boundary same as jurisdiction,"https://www.bristolonecity.com/wp-content/uploads/2020/02/one-city-climate-strategy.pdfhttps://www.bristol.gov.uk/files/documents/766-mayors-climate-emergency-action-plan-2019-final/file#:~:text=With%20this%20in%20mind%2C%20in,Direct%20and%20Indirect%20emissions%5D%3Bhttps://www.bristol.gov.uk/files/documents/5241-climate-emergency-action-plan/file#:~:text=We%20have%20significant%20commitments%20to,under%20our%20control%20by%202025.","Following Bristol's declaration of a climate emergency in November 2018, The Mayor's Climate Emergency Action Plan set out how Bristol could follow through on the commitments that it made in declaring the emergency and the target of making Bristol carbon neutral by 2030. In this plan the Mayor lays out initial policy and budgetary measures to achieve Bristol's climate goals, including funding for the development of Bristol's One City Climate Strategy, our climate change adaptation and mitigation plan and funding for an enhanced climate change team.  The plan also contained actions such as the training of council staff on climate change and the integration of climate change into decision making.The 2019 plan is now being updated to reflect the strategy and deliver the city council actions under that strategy.",CDP Cities 2024
8fddb00786ed6d0a,Integrated,NA,2022,2025,Same,Boundary same as jurisdiction,"https://www.bristolonecity.com/wp-content/uploads/2020/02/one-city-climate-strategy.pdfhttps://www.bristol.gov.uk/files/documents/766-mayors-climate-emergency-action-plan-2019-final/file#:~:text=With%20this%20in%20mind%2C%20in,Direct%20and%20Indirect%20emissions%5D%3Bhttps://www.bristol.gov.uk/files/documents/5241-climate-emergency-action-plan/file#:~:text=We%20have%20significant%20commitments%20to,under%20our%20control%20by%202025.",This comprehensive action plan sets out all the actions which Bristol City Council is taking to reduce both its own carbon emissions and those of the city. It follows the same themes and enabling conditions as the One City Climate Strategy.,CDP Cities 2024
50c47fe37be75ccd,Integrated,NA,2022,NA,Same,Boundary same as jurisdiction,https://www.cambridgeshire.gov.uk/residents/climate-change-energy-and-environment/climate-change-and-environment-strategy,NA,CDP Cities 2024
e2d7dfc975e0eae7,Mitigation,NA,2022,2040,Same,Boundary same as jurisdiction,https://www.chicago.gov/content/dam/city/sites/climate-action-plan/documents/CHICAGO_CAP_20220429.pdfhttps://www.chicago.gov/content/dam/city/progs/env/SustainableChicago2015.pdfhttps://resilient.chicago.gov/download/Resilient%20Chicago.pdf,"While the current cost of the Climate Action Plan is only estimated, the City has dedicated $188 million in bond financing to support a down payment toward equitable climate action. This financing directly support projects that achieve the ambitious goals in the Climate Action Plan and it serves as a market transformation tool.",CDP Cities 2024
e2d7dfc975e0eae7,Integrated,Sustainable Chicago 2015:,2012,2015,Same,Boundary same as jurisdiction,https://www.chicago.gov/content/dam/city/sites/climate-action-plan/documents/CHICAGO_CAP_20220429.pdfhttps://www.chicago.gov/content/dam/city/progs/env/SustainableChicago2015.pdfhttps://resilient.chicago.gov/download/Resilient%20Chicago.pdf,The cost of implementation is unknown.,CDP Cities 2024
e2d7dfc975e0eae7,Adaptation,Resilient Chicago:,2019,NA,Same,Boundary same as jurisdiction,https://www.chicago.gov/content/dam/city/sites/climate-action-plan/documents/CHICAGO_CAP_20220429.pdfhttps://www.chicago.gov/content/dam/city/progs/env/SustainableChicago2015.pdfhttps://resilient.chicago.gov/download/Resilient%20Chicago.pdf,"While Resilient Chicago does not explicitly reflect an implementation timeline to track progress across the various sectors of work, the report helped effectively frame the need for a whole of community approach to true community, climate resilience.",CDP Cities 2024
ee2ae450bdaaca82,Integrated,PlaNYC: Getting Sustainability Done,2019,2050,Same,Boundary same as jurisdiction,https://climate.cityofnewyork.us/initiatives/planyc-getting-sustainability-done/,"Annual reporting on the City’s long-term strategic plan is required by local law; the report tracks progress on goals and targets set in the strategic plan, and is issued to City Council and made available to the public. The City is also required to update the long-term strategic plan every four years.",CDP Cities 2024
95f86f19a1dabbf0,Mitigation,London Environment Strategy:,2022,2030,Same,Boundary same as jurisdiction,https://www.london.gov.uk/sites/default/files/london_environment_strategy_0.pdf; 1.5C Climate Compatible Action Plan: https://www.london.gov.uk/sites/default/files/london_environment_strategy_0.pdf; London Environment Strategy Implementation Plan:,"The existing London Environment Strategy and 1.5C Climate Action Plan work towards a 2050 net zero target. They are still monitored on an annual basis however earlier this year we published Element Energy's report and the Mayor's response (both linked above) which outline how we'll get to net zero by 2030. We will not be publishing an overarching new action plan/strategy, but we are now working with individual stakeholders to translate our new 2030 target into their own action plans. For example we are working with DNOs in London to look at energy requirements in the city; working with boroughs to inform Local Area Energy Plans; working with the GLA Group to inform their action plans and carbon budgets, etc. The above cost of implementation is with regards to our new 'Accelerated Green' pathway which works towards net zero by 2030. All sectors in London are covered by the plan.",CDP Cities 2024
