iso,climactor_id,GDAM_id,baseline_value,baseline_year,target_year,target_value,target_year_emission,annualized_ambition
BEL,0516b13d063c8a52,BEL.3.3.3.17_1,47155.2,2006,2050,80.0,9431.039999999997,0.013448415104128086
ESP,05225d4626176491,ESP.09.08.08151,2993.8,2005,2030,41.0,1766.3420000000003,0.013838465436646352
ESP,0522e9f40e0d5c0c,ESP.10.46.46220,410887.2,2010,2030,40.0,246532.32,0.01696592574647271
USA,058b10839d95a61a,USA.5.37.1600000US0613392,1146000.0,2018,2030,57.0,492780.00000000006,0.03830506132967315
BEL,059234978a5cba53,BEL.2.4.1.31_1,154226.2,2011,2030,40.0,92535.72,0.01786680031720378
ITA,05a00cfafdca65ad,ITA.8.35.029,24193.02,2007,2030,40.0,14515.812,0.014736758555106588
ESP,05adcdb44284f9de,ESP.07.05.05168,1547.0,2018,2030,41.0,912.7300000000001,0.02904632509356664
ROU,05b3cdee83b638e7,ROU.10.2915,17749.4,2008,2030,40.0,10649.640000000001,0.015411747273741838
GHA,05bd59b49daecc9f,GHA.03.07,2405522.0,2015,2050,73.0,649490.9400000001,0.015783881704708236
UKR,05cba490d19b3bc0,UKR.46.02.009.001,65657.3,2016,2050,80.0,13131.459999999997,0.017438142714214955
ITA,05fba6534f1f1d50,ITA.3.17.086,18155.9,2010,2030,47.0,9622.627,0.01944985101624841
CHL,06080ecb1923a704,CHL.14.5.27_1,1001852.0,2018,2050,100.0,0.0,0.021897148654116627
ESP,061be6c3419cf319,ESP.05.38.38025,15294.1,2008,2030,60.0,6117.64,0.021593641165761346
ITA,062853bbf40b8096,ITA.19.84.015,5999.868,2011,2030,40.0,3599.9208000000003,0.01786680031720378
ITA,064860518c2b3a07,ITA.19.87.058,14423.8,2011,2030,46.0,7788.852,0.020117388198309216
ITA,0655105dafb45433,ITA.19.82.018,3174.3,2011,2050,80.0,634.8599999999999,0.015185600026323742
AUS,06662b79b6a787bb,AUS.10.44_1,4504280.18,2022,2040,100.0,0.0,0.0392592260318434
ITA,066f5d8a1a69e8c7,ITA.19.84.037,8619.2,2011,2030,75.0,2154.8,0.02989150580428812
FRA,06b675d7a1446af1,FRA.MA.200040715,2962157.0,2005,2050,50.0,1481078.5,0.00905105100497905
JPN,06c8cf576ea4d943,JPN.29.612,2252000.0,2013,2024,2.0,2206960.0,0.0018018602478817591
ESP,06d5229c6917e8e1,ESP.05.38.38031,123052.8,2013,2050,90.0,12305.279999999997,0.017498742365049447
SWE,06dcf44f8a048ae9,SWE.23.2380,311376.9,1990,2030,100.0,0.0,0.017479692102686295
ITA,06e394b38e2fd3a5,ITA.8.40.011,11394.6,2007,2030,55.0,5127.57,0.01923725894212791
ESP,06ea015c2bc8c3a1,ESP.09.17.17028,2638683.967,2005,2030,55.0,1187407.78515,0.01768475295469374
ITA,06f4eedee954cb53,ITA.19.82.014,17741.6,2011,2030,40.0,10644.96,0.01786680031720378
NLD,0702d04099cdafc9,NLD.1.2_1,329325.6,2019,2049,100.0,0.0,0.023373891996774976
ITA,070d17d369a5b6f1,ITA.19.83.087,3563.204,2011,2030,40.0,2137.9224,0.017866800317204
ESP,073d6391ec5eff02,ESP.10.46.46082,7225541.83,2010,2030,40.0,4335325.098,0.01696592574647271
JPN,075c7f44eb58a349,JPN.37,57980000.0,2013,2050,100.0,0.0,0.018910284405250666
ITA,077114041f5a28bc,ITA.15.63.055,52311.0,2010,2030,40.0,31386.6,0.01696592574647271
ESP,07959c0b3adc52bd,ESP.10.46.46074,5601.2,2010,2030,40.0,3360.72,0.01696592574647271
ITA,079ed5f1434f5c87,ITA.8.35.032,35779.47,2007,2030,40.0,21467.682,0.014736758555106588
CHN,07c6e8aa865077ae,CHN.44,649518000.0,2020,2060,100.0,0.0,0.017479692102686295
ITA,07d3e77420c29004,ITA.19.83.080,4543.36,2011,2030,40.0,2726.0159999999996,0.01786680031720378
ITA,07d53d9848572582,ITA.8.33.022,15968.7,2008,2030,42.51,9180.40563,0.01623224281883795
ESP,07e8479f390ef3e1,ESP.09.08.08017,18078.37,2005,2030,40.0,10847.021999999999,0.01354986801622915
USA,08049f066e8f7b64,USA.34.41.1600000US3728000,117708.0,2007,2040,100.0,0.0,0.021226606315364105
ITA,0813fc583b323830,ITA.19.83.027,7029.0,2011,2050,51.0,3444.21,0.010622941131107178
ROU,081b9ff11cc34f43,ROU.56.26564,199762.1,2014,2030,40.0,119857.26,0.021252193235536287
CIV,08316dd2f09b730e,CIV.1_1,11220422.0,2016,2050,100.0,0.0,0.02059590957958668
DEU,0845c4ad95ec9730,DEU.10.3_1,2745680.0,1990,2030,40.0,1647408.0,0.008447284564975455
ITA,0852e7a62b60d1d5,ITA.8.34.010,51572.3,2005,2050,40.0,30943.38,0.007505184583256774
ESP,0855b13e4152e735,ESP.10.46.46024,864.1,2010,2049,50.0,432.05,0.010450773046505324
ESP,085ad186dc8def45,ESP.04.07.07057,114884.4,2005,2030,40.0,68930.64,0.01354986801622915
ESP,0867eec17e64e363,ESP.09.43.43028,15687.8,2005,2030,50.0,7843.9,0.016350839811869022
ITA,0868eee08be90d9f,ITA.19.87.005,55365.21,2011,2030,40.0,33219.126,0.017866800317204
UKR,0872cc9fcd484700,UKR.18.08.001,38192.7,2016,2030,32.0,25971.035999999996,0.020028775658807785
ITA,0873f3ad078b20ce,ITA.8.99.002,103353.6,2010,2030,40.0,62012.16,0.01696592574647271
ITA,088db40e875e0682,ITA.8.37.036,34708.8,2008,2050,53.0,16313.136,0.010176857815238582
ITA,08a72b93ccb48e0b,ITA.8.34.042,57340.2,2008,2030,45.0,31537.11,0.017032682327296378
ESP,08c769ef6746cf68,ESP.09.17.17029,1775.3,2005,2030,21.0,1402.487,0.007653957304240899
CHN,08fc2c177f40b748,CHN.45,235105000.0,2020,2060,100.0,0.0,0.017479692102686295
BEL,0909659b694f84b9,BEL.2.1.1.25_1,53915.3,2011,2050,55.0,24261.885,0.011300681611700947
SWE,0910afda19a6e043,SWE.01.0127,279276.9,1990,2030,80.0,55855.37999999999,0.014803164029113303
ESP,0924f4d1bd062294,ESP.14.30.30033,52512.988,2008,2030,40.0,31507.792799999996,0.015411747273741838
GRC,0937c4979bdda1ac,GRC.5.1.48.07,387655.4,2012,2030,40.0,232593.24000000002,0.018868708060818307
ITA,09426db4184c8c18,ITA.19.85.015,19539.51,2011,2030,40.0,11723.705999999998,0.01786680031720378
CHL,09461bbde7e3423c,CHL.14.5.32_1,22630.0,2019,2050,100.0,0.0,0.022611435601268326
ZAF,094d059d4d102759,ZAF.9_1,39641085.0,2018,2050,100.0,0.0,0.021897148654116627
FRA,0967f95ec31233e2,FRA.84,53278120.0,2015,2030,30.0,37294684.0,0.017644813405053306
ITA,097b03a10e5dcc87,ITA.8.35.001,29903.58,2007,2030,40.0,17942.148,0.014736758555106588
ROU,09a59d29b609aea6,ROU.270.120726,228386.0,2006,2030,40.0,137031.6,0.014118413069381885
USA,09cdd90085aa7753,USA.32.1.1600000US3502000,5809351.0,2017,2050,100.0,0.0,0.021226606315364105
DNK,0a08e8202bddaa24,DNK.3.3_1,547000.0,2010,2030,100.0,0.0,0.03526492384137758
ESP,0a149d858adcecbe,ESP.10.46.46005,50579.7,2010,2049,50.0,25289.85,0.010450773046505324
ESP,0a33e3a99b6a550b,ESP.10.46.46130,1596.7,2010,2030,40.0,958.02,0.01696592574647271
ESP,0a673d67a4b5d6dd,ESP.10.46.46028,909.6,2010,2049,80.0,181.91999999999996,0.015185600026323742
ESP,0a6af0b190a0c97b,ESP.12.36.36026,56681.3,2014,2030,40.0,34008.78,0.021252193235536287
ITA,0a6d7ffa28a203b9,ITA.8.35.004,30751.13,2007,2030,40.0,18450.678,0.014736758555106588
ITA,0a7c7788d453d564,ITA.8.35.043,13543.09,2007,2030,40.0,8125.853999999999,0.014736758555106588
ESP,0a8f32e0ca0e0e62,ESP.06.39.39006,14789.1,2006,2030,42.0,8577.678000000002,0.014717961039953265
ITA,0a9b55031faec583,ITA.8.33.010,59758.6,2010,2030,27.0,43623.778,0.01202254169919792
ESP,0a9b7e7a9c3dae51,ESP.10.46.46205,46123.0,2010,2030,40.0,27673.8,0.01696592574647271
ITA,0a9ba77343eafb0f,ITA.19.84.008,4744.448,2011,2030,40.0,2846.6688,0.017866800317204
JPN,0aadceb844f2263f,JPN.5.1866,2755000.0,2016,2025,13.0,2396850.0,0.013672360389777705
ESP,0ac509b9000627a1,ESP.12.36.36037,9745.1,2014,2030,40.0,5847.06,0.021252193235536287
ITA,0ad2b4eb9f0f9677,ITA.18.78.139,3162.012,2011,2030,40.0,1897.2072,0.01786680031720378
DNK,0af71b52c1a5c049,DNK.4.4_1,564000.0,2018,2030,70.0,169200.00000000003,0.04521125295294337
ITA,0b1978a99214056f,ITA.4.22.188,10729.2,2007,2050,24.0,8154.192000000001,0.00501512406997251
ESP,0b1b0fb27e860b7d,ESP.10.46.46230,66127.0,2010,2030,40.0,39676.2,0.01696592574647271
ESP,0b1c8d3084532006,ESP.09.08.08102,173822.3016,2005,2030,40.0,104293.38096,0.01354986801622915
USA,0b2071185dae06db,USA.15.72.1600000US1871000,2376578.0,2005,2035,45.0,1307117.9000000001,0.012462469226659056
ARG,0b8d0bfae5cd87bf,ARG.30.015.0042,757019.45,2018,2030,33.13,506218.90621499997,0.024132922891872743
ESP,0bbe29825a47558c,ESP.01.11.11007,83840.168,2007,2030,40.0,50304.1008,0.014736758555106588
ESP,0bc09aa314168862,ESP.12.32.32076,13037.5,2010,2030,40.0,7822.5,0.01696592574647271
ITA,0bd0201b7d294540,ITA.3.16.091,92662.64,2005,2050,22.0,72276.8592,0.00442868574299915
ITA,0bf289c3d7c8e6e8,ITA.20.111.026,2551.5,2011,2030,40.0,1530.8999999999999,0.017866800317204
ITA,0c044c63f3d95d5d,ITA.11.42.025,24333.7,2011,2050,40.0,14600.22,0.008664817327093566
ITA,0c1e0c9d3393e382,ITA.19.83.033,20579.6,2011,2030,40.12,12323.06448,0.017912700486867772
FRA,0c28e1a1de51a34f,FRA.44.067.1.67482,3143815.0,1990,2030,55.0,1414716.7499999998,0.01101661413704047
ESP,0c2d62dbd4b54cc7,ESP.04.07.07049,10661.5,2005,2030,49.6,5373.396,0.01624229004761557
ESP,0c2f600a32421182,ESP.10.46.46127,4827.8,2010,2049,50.0,2413.9,0.010450773046505324
MEX,0c43c7f5e36e8111,MEX.19_1,36000000.0,2019,2027,30.0,25200000.0,0.033339233926807266
ITA,0c545ac4c1c31b62,ITA.8.35.036,101664.5,2011,2030,43.78,57155.7819,0.01929506128432923
ITA,0c64ad075a0d522e,ITA.19.82.044,9053.1,2011,2050,45.0,4979.205000000001,0.009572799594944614
ESP,0c68cb518bbc28a3,ESP.05.38.38011,52520.9,2011,2030,40.0,31512.54,0.01786680031720378
ITA,0c7cbc73cdeb6be4,ITA.20.111.070,758.45,2006,2050,90.0,75.84499999999998,0.01469450644855308
USA,0c86dd19efb79089,USA.6.20.1600000US0880040,244216.0,2018,2030,50.0,122108.0,0.03436608313191658
ESP,0cb182f6361b00f0,ESP.10.03.03058,14421.44,2007,2030,40.0,8652.864,0.014736758555106588
UKR,0cb43a8162977991,UKR.18.06.009.001,200154.6,2012,2030,40.0,120092.76,0.018868708060818307
ITA,0cf471d0ec2e99a8,ITA.19.85.021,10222.7,2011,2030,40.0,6133.62,0.017866800317204
ITA,0cf940b070bcbf08,ITA.19.87.019,96120.0,2011,2030,56.0,42292.799999999996,0.023680551896215984
JPN,0d3c80577b205fbd,JPN.28.1297,3788000.0,2013,2030,29.0,2689480.0,0.015091700793280483
ESP,0d3d0f9254fb3721,ESP.10.46.46223,14071.3,2010,2049,50.0,7035.65,0.010450773046505324
ESP,0d4797ce402ea08d,ESP.10.46.46124,1442.7,2010,2049,50.0,721.35,0.010450773046505324
ITA,0d51b6d200e20e1d,ITA.12.59.027,70693.4,2010,2030,40.0,42416.03999999999,0.01696592574647271
BEL,0d814042098035aa,BEL.2.4.1.2_1,147196.9,2011,2030,40.0,88318.14,0.01786680031720378
ITA,0da5b1d9be5bd5b0,ITA.19.86.002,18339.5,2017,2030,41.0,10820.305000000002,0.026782346631873066
USA,0dcd922b492ae7d6,USA.22.9.1600000US2540115,187642.0,2017,2050,100.0,0.0,0.021226606315364105
USA,0dd0aae0bd255b4b,USA.18.56.1600000US2148006,21511134.0,2016,2050,80.0,4302226.799999999,0.017438142714214955
BEL,0ddac9cba05b46ee,BEL.2.4.1.21_1,64161.18,2011,2030,40.0,38496.708,0.01786680031720378
ESP,0de02b1d26d914ef,ESP.09.43.43132,3015.0,2005,2030,45.0,1658.2500000000002,0.014973539054925045
ESP,0e10473426644aee,ESP.12.15.15038,3185.8,2010,2030,40.3,1901.9226,0.01707477562924664
BEL,0e1c68802dc0b40b,BEL.3.4.3.3_1,32176.9,2006,2030,40.0,19306.14,0.014118413069381885
BEL,0e4e70835d7c08c2,BEL.2.4.1.4_1,9254.168,2011,2030,40.0,5552.5008,0.01786680031720378
ESP,0e5739c6b445fb20,ESP.09.25.25007,5397.2,2005,2030,45.0,2968.46,0.014973539054925045
ESP,0e6d80652e414a14,ESP.12.32.32015,5658.9,2016,2030,40.0,3395.3399999999997,0.024324869001833394
ROU,0e809f415199d97c,ROU.403.179141,1450687.7,2008,2030,30.0,1015481.3899999999,0.011997042454169105
JPN,0e8e82b600da2469,JPN.20.685,2702000.0,2013,2030,33.0,1810339.9999999998,0.016916726191270826
ITA,0ea1b372fa19beee,ITA.19.82.031,28937.61,2011,2030,40.0,17362.566,0.017866800317204
UKR,0eb96e48c7029fbf,UKR.68.06.027.001,200348.7,2010,2030,31.0,138240.603,0.013592911753613102
UKR,0ed66572563cd90c,UKR.65.10.015.001,954824.1,2013,2030,37.0,601539.183,0.018690805459274484
JPN,0edd06ad3dfc25fc,JPN.25.1631,2499000.0,2013,2030,40.0,1499400.0,0.019989654407636115
USA,0ef8008f36ead11f,USA.47.40_1,14630000.0,2005,2050,80.0,2925999.9999999995,0.013147605481073521
PHL,0f01ae55f2c58fa3,PHL.47.8_1,1227017.81,2017,2029,75.0,306754.4525,0.047739146593731796
DEU,0f2605ed8be59301,DEU.5.1_1,8340948.3,2019,2038,100.0,0.0,0.03715504444619189
BEL,0f3bd0b0f378c468,BEL.2.2.1.1_1,31453.1,2011,2030,40.0,18871.859999999997,0.017866800317204
ESP,0f3dd9d5e439029a,ESP.09.43.43016,22831.4,2005,2030,40.0,13698.84,0.01354986801622915
ITA,0f50831d2376233d,ITA.19.83.029,8605.8,2011,2030,30.0,6024.0599999999995,0.01390442519840307
ITA,0f652ed476d4dc30,ITA.19.83.063,3763.4,2011,2030,40.0,2258.04,0.01786680031720378
BEL,0f72d6321aefaa57,BEL.2.4.1.14_1,36133.6,2011,2030,40.0,21680.16,0.01786680031720378
BEL,0f752df88b59d977,BEL.3.2.2.5_1,176606.8,2006,2030,44.0,98899.808,0.015309470499731193
FIN,0f7c1eb997180396,FIN.19.127,792616.2,1990,2040,80.0,158523.23999999996,0.011825103496740264
