iso,climactor_id,GDAM_id,baseline_value,baseline_year,target_year,target_value,target_year_emission,annualized_ambition
USA,2d34bad1b99319e6,USA.7_1,51357263.0,2001,2050,80.0,10271452.599999998,0.012067882538102426
ESP,2d419789376d58e2,ESP.09.25.25046,2372.2,2005,2030,43.0,1352.154,0.01440981240971495
ITA,2d5896b2cccc7da6,ITA.18.79.059,424.7,2020,2050,60.0,169.88,0.015790155174676634
ITA,2d58f29089339eea,ITA.3.20.071,110129.2,2005,2030,40.0,66077.51999999999,0.01354986801622915
ITA,2d5cb542e3328c90,ITA.19.82.004,25390.24,2013,2030,40.0,15234.144,0.019989654407636115
ESP,2d84a0444348789e,ESP.09.17.17100,1531.9,2005,2030,28.0,1102.968,0.009923315897995888
ITA,2d8c952820b9c516,ITA.19.82.064,22509.8,2011,2030,40.0,13505.88,0.01786680031720378
BEL,2d94c6b4e4dc7e58,BEL.2.3.1.8_1,170758.4,2011,2030,40.0,102455.04,0.01786680031720378
JPN,2d989cecff6d7ace,JPN.2.1374,7999000.0,2016,2026,19.0,6479190.0,0.017547510603523886
ESP,2da8b783db166417,ESP.01.11.11004,483906.5,2021,2030,40.0,290343.89999999997,0.03809344426552097
MDA,2da902e629ee67cf,MDA.29.430,1943.2,2019,2030,30.0,1360.24,0.02413801393598547
HRV,2dbf4eb3e9354d64,HRV.7.11_1,92094.1,2006,2050,80.36,18087.281240000004,0.01349443598154676
UKR,2dc6065ab8966f9a,UKR.59.04.013.001,74028.4,2013,2030,57.0,31832.212,0.026889017096498824
ITA,2dd69053330d2168,ITA.8.99.011,44564.1,2017,2030,40.0,26738.46,0.026220339705550266
ESP,2df59cd5a0440bc7,ESP.10.46.46138,1356.0,2010,2049,50.0,678.0,0.010450773046505324
ITA,2e3613a13b2dc82c,ITA.5.27.030,14347.4,2005,2030,40.0,8608.439999999999,0.01354986801622915
ESP,2e9facc97d0b4765,ESP.09.43.43046,778.0,2005,2030,40.0,466.79999999999995,0.01354986801622915
ITA,2edc89688179c7f9,ITA.19.87.038,34320.1,2011,2030,40.0,20592.059999999998,0.01786680031720378
PRT,2ef373037a36a7a5,PRT.12.4_1,565357091.00068,2015,2050,110.0,-56535709.10006805,0.02142448796837315
JPN,2ef44bcdf87e29eb,JPN.18.1446,34518526.0,2013,2030,35.0,22437041.900000002,0.017809950212084757
ESP,2f1eec1e99841e4d,ESP.10.46.46004,3817.4,2010,2050,60.0,1526.96,0.011819394222011281
ESP,2f364b8567a955ce,ESP.09.17.17172,2910.209,2005,2030,40.0,1746.1254,0.01354986801622915
ESP,2f365d57e20662a3,ESP.09.17.17203,1193.0,2005,2030,55.4,532.0780000000001,0.0177896743749133
ESP,2f3d74db1d8bd993,ESP.09.08.08049,8185.742,2005,2030,40.0,4911.4452,0.01354986801622915
USA,2f521f55f539f27e,USA.34.68.1600000US3711800,1047516.0,2005,2050,100.0,0.0,0.015522512504275054
USA,2f61fb2df2db4f3a,USA.44.15.1600000US4865000,54920015.62,2021,2050,100.0,0.0,0.02418956024899721
ITA,2f784b6ea690ff5f,ITA.1.96.004,222574.6,2010,2030,40.0,133544.76,0.01696592574647271
KEN,2f805e02ec2c87d8,KEN.38_1,12.5,2015,2029,32.0,8.5,0.020028775658807785
ESP,2fa3f5f67fc1c151,ESP.09.25.25244,1872.7,2005,2030,52.46,890.2815800000001,0.017012373056384478
GBR,2fae578782e39c57,GBR.1.09.55,1886005.56,2019,2050,100.0,0.0,0.022611435601268326
USA,2fb504ec9a7da551,USA.15.54.1600000US1805860,1328610.0,2018,2050,100.0,0.0,0.021897148654116627
ITA,2fbc67a486450906,ITA.19.83.094,3447.3,2011,2030,40.0,2068.38,0.01786680031720378
GRC,2fd43e1f08ffa1ae,GRC.3.2.30.02,21424.2,2015,2030,40.0,12854.52,0.02268495988716035
ESP,2fff37277d424121,ESP.10.46.46073,1894.8,2010,2030,40.0,1136.8799999999999,0.01696592574647271
ESP,30357e8b4683fd40,ESP.10.03.03045,851.3,2007,2050,60.0,340.52,0.010990271113809236
PRT,30486db4b7ad9a23,PRT.5.1_1,19872.8,2008,2030,40.0,11923.679999999998,0.015411747273741838
ITA,305b6f75eea05887,ITA.19.82.028,11764.9,2017,2030,40.0,7058.94,0.026220339705550266
ITA,3065de985ede3656,ITA.5.24.084,23836.5,2007,2030,43.0,13586.805000000002,0.01567260981587637
GRC,308e8ecfb41bb697,GRC.5.1.47.05,364773.8,2008,2030,40.0,218864.28,0.015411747273741838
ITA,309e425517f044dd,ITA.19.82.058,9790.658,2011,2030,40.0,5874.394799999999,0.017866800317204
ITA,30b056de334c1952,ITA.19.82.072,6480.204,2011,2030,40.0,3888.1223999999997,0.01786680031720378
ITA,30be574a676a4af4,ITA.5.29.010,5640.0,2006,2030,40.0,3384.0,0.014118413069381885
ITA,30c3c4381fb537d9,ITA.19.84.001,200239.6,2011,2030,40.0,120143.76,0.01786680031720378
ITA,30e18757e4b6170c,ITA.1.103.016,4746.073,2006,2050,45.0,2610.3401500000004,0.008480382718125234
ESP,311369bc1032ec02,ESP.09.17.17097,1285.12,2005,2030,40.0,771.0719999999999,0.01354986801622915
IDN,312f6dcaaca8b92e,IDN.27.251,60932.59,2010,2030,33.0,40824.83529999999,0.014361090807811339
KOR,31603bd81a38da6e,KOR.8.8_2,3379522.0,2020,2050,100.0,0.0,0.023373891996774976
USA,31724eab4921425d,USA.36.25.1600000US3918000,11224184.53,2022,2050,100.0,0.0,0.025064211965874605
HRV,3173c688e775d430,HRV.4.6_1,83411.0,2008,2030,43.0,47544.270000000004,0.01639080855463848
ITA,317827e0bce3543a,ITA.19.83.012,2125.104,2011,2030,40.0,1275.0623999999998,0.01786680031720378
BEL,317c95d2f3548273,BEL.2.4.1.22_1,55759.27,2011,2030,40.0,33455.562,0.01786680031720378
USA,318e701bffdacdb9,USA.24.63.1600000US2758000,4660669.0,2015,2030,50.0,2330334.5,0.02739965906371644
ITA,31aa527fed69bdb2,ITA.19.83.001,3130.239,2011,2030,40.0,1878.1434,0.01786680031720378
ITA,31d0566101b9612e,ITA.8.35.008,94385.08,2010,2030,40.0,56631.048,0.01696592574647271
ESP,31e123e60de3d596,ESP.12.15.15029,33496.9,2010,2030,40.6,19897.1586,0.01718340462275436
BEL,31f56b41a585a23f,BEL.3.2.5.8_1,155526.3,2006,2030,44.0,87094.728,0.015309470499731193
ESP,320a5040a6d3ef18,ESP.09.08.08100,17282.73,2005,2030,40.0,10369.637999999999,0.01354986801622915
USA,321b85739893c227,USA.12.2_1,12940335.0,2020,2045,100.0,0.0,0.028113826656066543
ITA,32756fc5891076b8,ITA.5.23.022,203963.6,2005,2025,30.0,142774.52,0.013204634466420062
GRC,328944582e4163ad,GRC.1.2.08.01,389181.7,2012,2030,40.0,233509.02,0.018868708060818307
UKR,328c985e55f380e8,UKR.59.02.007.001,277857.2,2010,2030,30.0,194500.04,0.013204634466420062
ESP,328d50254e11c8e2,ESP.12.27.27054,3841.5,2016,2030,40.0,2304.9,0.024324869001833394
HUN,328d7c176629c603,HUN.21.072.3111,3538.4,2017,2050,60.0,1415.3600000000001,0.014344442345286756
ITA,32a58a7349f2e07a,ITA.5.23.082,65583.26,2007,2030,40.0,39349.956,0.014736758555106588
ITA,32c94280cc16e2d3,ITA.8.35.003,37125.6,2007,2030,41.06,21881.828639999996,0.015069598660528705
ESP,32d37186d0e85c78,ESP.12.32.32050,10370.2,2010,2030,40.0,6222.12,0.01696592574647271
UKR,32edcc742897b5f7,UKR.44.12.003.001,100827.1,2016,2030,30.0,70578.97,0.01891700620110659
ITA,3300793abe63a73e,ITA.8.37.024,80932.81,2008,2030,40.0,48559.685999999994,0.015411747273741838
ITA,331357ecce03a5b0,ITA.8.36.016,12488.49,2007,2030,40.0,7493.093999999999,0.014736758555106588
IND,332fb84ad9b79ef9,IND.31.3,14380706.0,2018,2050,100.0,0.0,0.021897148654116627
BEL,33403433baa2b1b2,BEL.2.1.1.13_1,87760.4,2011,2030,40.0,52656.24,0.01786680031720378
BEL,3343304da98f1532,BEL.3.1.1.12_1,54589.7,2006,2030,40.0,32753.819999999996,0.014118413069381885
ESP,334b0f633c89eb09,ESP.05.35.35021,70721.1,2012,2030,40.0,42432.66,0.018868708060818307
ESP,334fd1c945d029b2,ESP.10.03.03093,41872.87,2007,2030,40.0,25123.722,0.014736758555106588
ESP,3363ebaa4eb11719,ESP.09.25.25086,5616.549,2005,2030,40.0,3369.9294,0.01354986801622915
BRA,337021c562f6fa0b,BRA.17.159_2,71626.0,2019,2050,100.0,0.0,0.022611435601268326
ITA,337f6ec22d4d1187,ITA.5.27.034,73583.3,2005,2030,42.0,42678.314000000006,0.014125104588171622
ITA,33844f8ebe3a518d,ITA.19.83.051,2143.91,2015,2030,40.0,1286.3459999999998,0.02268495988716035
TWN,338c48f6eddbdaa6,TWN.3_1,60639254.07,2020,2050,100.0,0.0,0.023373891996774976
ESP,33a8262d9c94b9e7,ESP.10.46.46137,422.7,2010,2049,50.0,211.35,0.010450773046505324
ESP,33ae6e5aafe06d84,ESP.10.46.46069,260.3,2010,2049,50.0,130.15,0.010450773046505324
GRC,33b07afe05cd1de2,GRC.5.1.45.01,4348581.0,2021,2050,100.0,0.0,0.02418956024899721
SVN,33f6fd19aae93ec9,SVN.2.9_1,93962.0,2005,2030,40.0,56377.2,0.01354986801622915
BEL,3415b29e9eb4887c,BEL.3.1.1.2_1,198519.9,2006,2030,41.0,117126.74100000001,0.014419205798848589
BRA,34242f17680bbd1f,BRA.13.66_2,4052789.53,2020,2050,100.0,0.0,0.023373891996774976
USA,342587cce93eb874,USA.8_1,19300000.0,2005,2025,28.0,13896000.0,0.012419493147582283
BEL,34321bedca94b0ed,BEL.2.3.5.2_1,7885.9,2011,2030,40.0,4731.54,0.01786680031720378
ITA,345c01fa029728a2,ITA.8.33.039,72129.25,2010,2030,40.0,43277.549999999996,0.01696592574647271
ESP,3497fba020b85015,ESP.10.46.46213,37532.2,2010,2030,40.0,22519.319999999996,0.01696592574647271
ESP,34bca5aea0e982ef,ESP.10.46.46194,29683.2,2010,2049,50.0,14841.6,0.010450773046505324
BEL,34cca3f4e6de7f23,BEL.3.1.1.16_1,241811.6,2006,2050,90.0,24181.159999999996,0.01469450644855308
ESP,34f54c9d93a12195,ESP_ASSO_5,42293.3,2011,2030,41.5,24741.5805,0.018437892374567166
ESP,34fad618458122c6,ESP.10.46.46256,14263.9,2010,2049,50.0,7131.95,0.010450773046505324
ITA,3504ef0b7165e9e4,ITA.19.83.032,16757.24,2015,2030,40.0,10054.344000000001,0.02268495988716035
IDN,352f5b72de9d0e52,IDN.11.100,369218.0,2019,2025,24.38,279202.6516,0.03703104724289874
ITA,353d539cd55ec44b,ITA.4.22.205,950104.9,2006,2030,40.0,570062.94,0.014118413069381885
ITA,35403b25f59810b3,ITA.8.37.035,18034.78,2008,2050,51.0,8837.0422,0.009860431371388145
ITA,3541b25c03798c2e,ITA.8.37.022,30456.8,2008,2050,50.0,15228.4,0.009700680656461458
ROU,3571158d67d2b954,ROU.38.13169,455950.1,2008,2030,40.0,273570.06,0.015411747273741838
BEL,3577d8f75ed937d3,BEL.2.3.4.2_1,36680.54,2011,2030,40.0,22008.324,0.01786680031720378
BRA,3593dec6cb6407b6,BRA.12_1,242000000.0,2015,2035,100.0,0.0,0.03526492384137758
ITA,359ca037208a0112,ITA.19.88.001,9378.894,2011,2030,40.0,5627.3364,0.01786680031720378
ESP,35c6dcc78cd0b53a,ESP.04.07.07053,7836.2,2005,2030,53.0,3683.0139999999997,0.01715621541613599
ITA,360ff27325a88eed,ITA.12.58.105,13505.4,2008,2030,40.0,8103.24,0.015411747273741838
MDA,36301b621b9c0a1a,MDA.35.948,2258.1,2021,2030,40.0,1354.86,0.03809344426552097
ITA,364964615a8f8dbd,ITA.16.110.008,36118.85,2010,2050,22.0,28172.703,0.0049836487403962515
USA,365ef2593da8b6df,USA.14_1,184234367.593203,2021,2050,100.0,0.0,0.02418956024899721
ESP,3671ce54aa343013,ESP.12.15.15073,138597.8,2010,2030,40.0,83158.68,0.01696592574647271
AUS,367a7e167767cae2,AUS.10.78_1,1900000.0,2017,2030,100.0,0.0,0.054766076481646664
ITA,3691658c8ee5e678,ITA.8.37.008,137123.3,2008,2030,40.0,82273.98,0.015411747273741838
ESP,369cbc08c20261af,ESP.10.46.46236,1665.7,2010,2030,40.0,999.42,0.01696592574647271
ESP,36a25887731b6ff3,ESP.09.25.25153,917.0,2005,2050,60.0,366.8,0.01049925953902675
ITA,36af1bc511b33a1d,ITA.19.87.035,9209.427,2011,2030,40.0,5525.656199999999,0.01786680031720378
JPN,36c9f29f27987213,JPN.38.545,1595000.0,2013,2028,35.0,1036750.0,0.020208453742089905
BEL,36f8c42be6076da7,BEL.3.3.2.7_1,125116.8,2006,2030,41.0,73818.91200000001,0.014419205798848589
ESP,370429ac8e024526,ESP.12.15.15091,4069.5,2010,2030,40.0,2441.7,0.01696592574647271
DEU,37134040dabefc2a,DEU.10.33_1,2618000.0,1990,2030,100.0,0.0,0.017479692102686295
UKR,371947592bd734bc,UKR.63.12.017,51545.5,2017,2030,31.73,35190.11285,0.02142507404708649
ESP,37628ae64feaf9bd,ESP.05.35.35027,47772.0,2012,2030,40.0,28663.2,0.018868708060818307
ROU,376fc255d6229a52,ROU.74.35731,200646.5,2012,2030,40.0,120387.9,0.018868708060818307
ESP,3786a1ec6247fdba,ESP.09.08.08214,47982.17,2005,2030,40.0,28789.302,0.01354986801622915
USA,37882599ca1eca2b,USA.5.37.1600000US0666000,9337222.0,2019,2035,100.0,0.0,0.044273782427413755
JPN,37b17115a24a44e4,JPN.27,29400000.0,2013,2050,100.0,0.0,0.018910284405250666
GBR,37b2a46b7cf8e16e,GBR.1.03.94,3169151.91,2005,2038,100.0,0.0,0.021226606315364105
UKR,37dd799220431581,UKR.65.10.003,26533.6,2016,2030,30.0,18573.519999999997,0.01891700620110659
DEU,37e4e4aa7a8a5e2e,DEU.1.30_1,1007164.5,1990,2030,55.0,453224.02499999997,0.01101661413704047
ITA,37ec518ac1834168,ITA.12.59.032,146188.3,2008,2030,40.0,87712.98,0.015411747273741838
ESP,380a1071a1df58a4,ESP.09.08.08184,284701.198,2005,2030,40.0,170820.71879999997,0.01354986801622915
DNK,38194ef66c9515c1,DNK.3.1_1,1406277.1,1990,2050,100.0,0.0,0.011619440301922523
ITA,38220ab898097061,ITA.19.89.020,14873.5,2011,2030,41.0,8775.365000000002,0.01824816827755149
BEL,383c1428a0337269,BEL.3.2.7.3_1,34637.7,2006,2030,41.0,20436.243000000002,0.014419205798848589
ITA,383d1462832174a7,ITA.8.40.003,101794.7,2007,2030,55.0,45807.61499999999,0.01923725894212791
BEL,38529f81e8614985,BEL.3.5.1.6_1,34874.0,2006,2030,40.0,20924.399999999998,0.014118413069381885
ITA,3860bccc72c7a208,ITA.19.84.040,15673.3,2011,2030,40.0,9403.98,0.01786680031720378
ITA,388abcf916f9a131,ITA.19.81.022,32218.8,2011,2030,48.85,16479.916200000003,0.02115588404632085
CAN,38aa853d85b9b187,CAN.35.06,6907000.0,2012,2050,100.0,0.0,0.018408093274101978
ITA,38abb860d583bd69,ITA.5.26.013,21271.17,2007,2050,24.0,16166.089199999999,0.00501512406997251
JPN,38acea0175c39fb1,JPN.11,10869000.0,2013,2030,58.0,4564980.0,0.0272726153241869
ITA,38c0603a63968650,ITA.9.51.002,488582.0,2008,2030,40.0,293149.2,0.015411747273741838
ITA,38c111c22ad231d0,ITA.4.22.139,138641.0,2002,2030,40.0,83184.59999999999,0.012089358209952383
USA,38df4ebdf3b0456d,USA.20.3.1600000US2360545,840419.0,2017,2050,80.0,168083.79999999996,0.01797129177653578
ESP,38e1176d84fb5331,ESP.12.32.32020,9934.3,2010,2030,40.0,5960.579999999999,0.01696592574647271
ESP,38f310fe48d262e0,ESP.10.46.46094,39988.2,2010,2030,40.0,23992.92,0.01696592574647271
ITA,38f60d39057eb22c,ITA.5.23.089,69005.18,2005,2030,40.0,41403.10799999999,0.01354986801622915
ROU,39087c2db78a2709,ROU.47.20876,47049.6,2010,2050,40.0,28229.76,0.008447284564975455
SVN,3938af3cab8beee3,SVN.2.1_1,39328147.0,2005,2030,40.0,23596888.2,0.01354986801622915
ESP,395acbda1068bee2,ESP.04.07.07040,2597317.0,2005,2030,30.0,1818121.9,0.010549831729349979
ESP,39697e357a30e16a,ESP.01.11.11014,98865.83923,2007,2030,40.0,59319.503538,0.014736758555106588
GBR,398fc78f6aa17161,GBR.1.08.139.55,1236132.0,2019,2024,100.0,0.0,0.1486983549970351
BEL,39d450d25b887e6d,BEL.2.2.2.4_1,63268.9,2011,2030,40.0,37961.34,0.017866800317204
BIH,39d4b693862fe5c3,BIH.2.8.7_1,55653.6,2011,2030,40.0,33392.159999999996,0.017866800317204
ESP,39e06a3bfa370ddb,ESP.10.46.46026,3171.5,2010,2030,40.0,1902.8999999999999,0.01696592574647271
ITA,3a0add5256b7c180,ITA.8.36.028,55618.53,1998,2030,40.0,33371.117999999995,0.010570231718477041
ESP,3a1db82db50bff72,ESP.01.41.41091,2908770.4,2005,2050,55.0,1308946.68,0.009786576840495664
ESP,3a222c1269116706,ESP.10.46.46002,1984.6,2010,2030,40.0,1190.76,0.01696592574647271
ESP,3a3eb4a55bcf5f48,ESP.12.32.32055,6011.0,2017,2030,40.0,3606.6,0.026220339705550266
ESP,3a41af3580c8d2ec,ESP.10.03.03015,28449.96,2007,2030,40.0,17069.976,0.014736758555106588
ITA,3a5478db518f1969,ITA.19.87.013,20575.4,2011,2030,40.0,12345.24,0.017866800317204
ESP,3a644943dc60da55,ESP.05.35.35001,20268.6,2012,2030,40.0,12161.159999999998,0.018868708060818307
ESP,3a66a721f662f9aa,ESP.04.07.07009,5847.9,2005,2030,40.0,3508.74,0.01354986801622915
ESP,3a83c2e78bda53b5,ESP.10.46.46086,142.4,2010,2030,40.0,85.44,0.01696592574647271
BEL,3a86de63ec667772,BEL.2.4.2.6_1,52538.98,2011,2030,40.0,31523.388,0.017866800317204
ESP,3a966e14756c809a,ESP.09.25.25140,5918.3,2005,2030,44.0,3314.2480000000005,0.014692615284425337
ITA,3a978da26171fa7a,ITA.19.89.002,134259.8,2011,2030,40.0,80555.87999999999,0.01786680031720378
USA,3ab3c919e8671ef4,USA.27.15.1600000US3079825,1760.0,2016,2050,100.0,0.0,0.02059590957958668
ITA,3ac26bbc4e6d175b,ITA.8.35.046,22375.7,2007,2030,44.8,12351.386400000001,0.016225146837624216
ESP,3acecea138b5d5b9,ESP.10.46.46139,12790.1,2010,2049,50.0,6395.05,0.010450773046505324
ESP,3ae6f825abdc0375,ESP.01.11.11013,17807.4196,2007,2030,40.0,10684.45176,0.014736758555106588
USA,3af5816292e68204,USA.10.43.1600000US1245025,3490318.0,2018,2050,100.0,0.0,0.021897148654116627
CHN,3b1513bb4ae25dbc,CHN.32.191,170391200.0,2019,2060,100.0,0.0,0.017049744443626835
ITA,3b1f8cd5aee5f246,ITA.19.85.011,3962.35,2011,2030,40.0,2377.41,0.01786680031720378
ITA,3b27dbd3832b4a05,ITA.9.48.030,61056.9,2010,2030,40.0,36634.14,0.01696592574647271
ESP,3b3f447c63bd3f9e,ESP.05.38.38001,360037.0,2009,2030,40.0,216022.19999999998,0.016151535814308726
ITA,3b732535c58613d1,ITA.8.34.009,129511.9,2008,2050,40.0,77707.14,0.008043419607661972
ROU,3b8d5ecf1eb82a2c,ROU.10.1017,219150.1,2008,2030,40.0,131490.06,0.015411747273741838
ESP,3b916b7b4dc44146,ESP.09.08.08282,27774.48,2005,2030,40.0,16664.688,0.01354986801622915
MEX,3bba7c77e753b596,MEX.15_1,46756790.0,2010,2050,50.0,23378395.0,0.010188177345910487
ITA,3bbaf8579b9e6772,ITA.5.28.060,1409875.0,2021,2030,100.0,0.0,0.08005973889230611
ESP,3bc891133ec0471d,ESP.04.07.07065,15578.2,2005,2030,40.0,9346.92,0.01354986801622915
BEL,3bda0459f5d3c58d,BEL.2.1.3.16_1,43304.7,2011,2030,40.0,25982.819999999996,0.017866800317204
ITA,3bde7ace5ec85a64,ITA.19.87.022,17158.43,2011,2030,40.0,10295.057999999999,0.017866800317204
GRC,3beeed125891d73a,GRC.1.2.12.05,117825.0,2011,2030,40.0,70695.0,0.01786680031720378
BEL,3bf30ac03f9821be,BEL.2.1.2.6_1,158763.7,2014,2030,40.0,95258.22,0.021252193235536287
GRC,3bf61ed8d9da371d,GRC.5.1.49.07,126564.0,2015,2030,40.0,75938.4,0.02268495988716035
AUS,3bf7293a035b0c83,AUS.5.12_1,3340000.0,2016,2041,100.0,0.0,0.028113826656066543
ESP,3c0cb64ce5e88586,ESP.09.08.08304,4557.5,2005,2030,40.0,2734.5,0.01354986801622915
ESP,3c14df4e04f74da2,ESP.05.38.38051,16250.5,2013,2030,40.0,9750.3,0.019989654407636115
JPN,3c177238bcd28c6e,JPN.7,14220000.0,2013,2050,100.0,0.0,0.018910284405250666
JPN,3c1d49004e188e8d,JPN.42,14171000.0,2018,2050,100.0,0.0,0.021897148654116627
ESP,3c284c1964394a9d,ESP.12.32.32033,2040.1,2010,2030,40.0,1224.06,0.01696592574647271
ITA,3c29e527ee9d4b74,ITA.3.15.012,57950.5,2005,2049,50.0,28975.25,0.009257705998790833
ITA,3c315fb2d10cd20d,ITA.19.83.073,2749.4,2011,2030,53.0,1292.218,0.022634880178002525
USA,3c39894220270c9b,USA.10.6_1,13086987.74,2019,2050,100.0,0.0,0.022611435601268326
BEL,3c42d9be6f9c5d2b,BEL.3.4.1.2_1,19401.9,1990,2050,50.0,9700.95,0.006780636928134465
GRC,3c6cb8322d87437c,GRC.1.2.07.14,270724.9,2011,2030,51.0,132655.201,0.021926919230492947
USA,3c7408666734fe28,USA.26.95.1600000US2965000,6470313.0,2018,2050,100.0,0.0,0.021897148654116627
ESP,3c86cdd2496a7cbe,ESP.10.46.46186,31344.2,2010,2030,40.0,18806.52,0.01696592574647271
ESP,3c9cbfe39e7eabaf,ESP.12.15.15082,57827.9,2015,2030,40.0,34696.74,0.02268495988716035
ITA,3ca76beac470f4e2,ITA.1.4.067,32626.0,2010,2030,40.0,19575.6,0.01696592574647271
DNK,3ce166dcec5d48ca,DNK.4.3_1,741483.8,2009,2030,30.0,519038.66,0.012571906662961041
ESP,3ceaf6c367a8a1c0,ESP.04.07.07016,18173.1,2005,2030,42.0,10540.398000000001,0.014125104588171622
HRV,3d1757d790a28533,HRV.20.31_1,248722.5,2010,2030,41.52,145452.918,0.017515165806605504
ITA,3d2198be166b8851,ITA.8.35.009,54588.5,2010,2030,41.0,32207.215000000004,0.017327901261305678
GBR,3d4b51f45332d6e0,GBR.1.08.150,6243100.0,2019,2050,100.0,0.0,0.022611435601268326
GRC,3d52206f85b9a604,GRC.5.1.47.03,1079388.5,2005,2030,40.0,647633.1,0.01354986801622915
CHN,3d586e445e0ce956,CHN.42.291,127622400.0,2019,2060,100.0,0.0,0.017049744443626835
ITA,3d7ea030909ff501,ITA.19.83.041,47819.5,2011,2030,40.0,28691.7,0.01786680031720378
ESP,3d897c93073654f9,ESP.10.46.46066,1850.3,2010,2049,50.0,925.15,0.010450773046505324
BGR,3db032f930967b43,BGR.20.9_1,271306.7,2009,2030,50.71,133727.07243,0.019724739207544806
USA,3dd4704e879b2179,USA.14.50.1600000US1741105,366980.0,2019,2030,58.3,153030.66,0.04264059148560051
ITA,3dd87c9fc090c8e0,ITA.19.87.045,4253.0,2018,2030,20.0,3402.4,0.015309470499731193
ESP,3ddc0edf26bb7478,ESP.09.43.43070,1763.7,2005,2030,40.0,1058.22,0.01354986801622915
ITA,3de138f3748046b0,ITA.19.81.004,31148365.9,2011,2030,40.0,18689019.54,0.01786680031720378
ITA,3e24f0c07e541edd,ITA.19.83.042,3016.966,2015,2030,40.0,1810.1796,0.02268495988716035
ESP,3e2f480daff244db,ESP.04.07.07028,5982.5,2005,2030,40.9,3535.6575,0.013809694266094796
ITA,3e447ab51ee727ba,ITA.8.35.012,109612.4,2011,2030,42.93,62555.79667999999,0.01897701823524689
ITA,3e4e873836bef20d,ITA.5.27.035,62530.7,2005,2030,40.0,37518.42,0.01354986801622915
BEL,3e4eeb5ab4900cdb,BEL.2.3.4.9_1,102223.0,2018,2050,100.0,0.0,0.021897148654116627
ITA,3e501c4193693a61,ITA.19.82.060,8317.3,2011,2030,25.0,6237.974999999999,0.01181363365357524
ESP,3e6d424b35792453,ESP.09.43.43907,14986.0,2005,2030,40.0,8991.6,0.01354986801622915
ITA,3e791205af7371bc,ITA.9.48.050,57749.3,2010,2030,40.0,34649.58,0.01696592574647271
ESP,3e7a08af13e78bbc,ESP.14.30.30013,23937.3,2015,2030,30.0,16756.109999999997,0.017644813405053306
ESP,3e856d6926accb44,ESP.10.46.46037,2962.8,2010,2049,50.0,1481.4,0.010450773046505324
BEL,3eb68f316091c5a7,BEL.3.2.2.9_1,100689.5,2006,2030,43.0,57393.01500000001,0.01501470679771777
ESP,3eb6f335252c1918,ESP.09.17.17023,185626.2,2005,2030,55.0,83531.79,0.01768475295469374
JPN,3edb255051159f05,JPN.38.557,1595000.0,2013,2030,51.0,781550.0,0.024537964031851933
HUN,3ef72772d6cdae87,HUN.17.169.3013,28716.9,2012,2030,40.0,17230.14,0.018868708060818307
BEL,3f1e3c07245692cf,BEL.2.3.2.9_1,39242.5,2011,2030,40.0,23545.5,0.01786680031720378
CMR,3f749dd8908860e9,CMR.02.38.011.354,783.5,2018,2030,32.0,532.78,0.023405690796292067
ESP,3f9bce1c208bb2e8,ESP.05.35.35019,496114.3,2012,2030,40.0,297668.57999999996,0.018868708060818307
USA,3f9c463e0dd61633,USA.48.37.1600000US5305280,882084.0,2000,2050,100.0,0.0,0.013959479790029095
USA,3fa960214bf91d20,USA.22.3.1600000US2545000,801044.0,2017,2050,100.0,0.0,0.021226606315364105
ITA,3fe0098aedf639c5,ITA.19.82.076,8239.329,2011,2030,40.0,4943.5974,0.01786680031720378
CAN,4058268f09e43a50,CAN.35.25,10305430.0,2021,2050,100.0,0.0,0.02418956024899721
ITA,4073cc88037ec5a3,ITA.5.27.026,60848.95,2005,2030,40.0,36509.369999999995,0.01354986801622915
BEL,407c2e651b56c0c5,BEL.2.1.3.17_1,106407.2,2011,2030,40.0,63844.31999999999,0.017866800317204
ITA,4084d8c314a355f9,ITA.8.37.047,111905.0,2008,2050,53.0,52595.35,0.010176857815238582
ITA,40853f27b88f59ca,ITA.11.41.044,535757.7,2005,2030,41.8,311810.9814,0.014067932118208892
ESP,409279fc23feb845,ESP.09.08.08063,2806.038,2005,2030,40.0,1683.6227999999999,0.01354986801622915
ESP,40ab7ae02aea40c3,ESP.01.18.18173,51045.6,2007,2030,40.0,30627.359999999997,0.014736758555106588
BEL,40ae924884df39d9,BEL.3.3.2_1,1019927.0,2005,2050,100.0,0.0,0.015522512504275054
BEL,40debcc8b4f09957,BEL.2.1.1.30_1,72478.63,2011,2030,40.0,43487.178,0.01786680031720378
MEX,4119893a0fff4bf6,MEX.26.31_2,7700073.0,2015,2030,53.0,3619034.3099999996,0.02875690226814731
ITA,41360316bf1e2be5,ITA.8.35.013,24065.0,2007,2030,45.3,13163.555,0.01637746347650415
ITA,414c488f4bd8df6e,ITA.19.85.006,26818.61,2011,2030,40.0,16091.166,0.01786680031720378
HUN,4153e43de8411269,HUN.18.114.0348,8171.9,2019,2050,50.0,4085.95,0.013165430682974488
PRT,4182106d82a4c2b8,PRT.15.8_1,2863183.0,2009,2030,85.0,429477.45000000007,0.029727860518613314
COL,419a510780c264c6,COL.2_2,22940000.0,2012,2050,0.0,22940000.0,0.0
USA,41a25c63c8a3db45,USA.5.40.1600000US0668154,386630.0,2005,2035,100.0,0.0,0.023373891996774976
